Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

,3895245103.93316,1.80930185317993,-89233.1953125,0,0.157,134.9544,0.02886194,0.002907005,,,1.525879,1.96608,1,0,0.1349543,0.1349543,6.847151E-06,,,,,,10,-53.57246,-40.84785,,,,,,,,,,,,,,,,,,,,,34904960,0,6,6,1,,,,,,,,,,,,,,,,
,3895245105.84157,1.80954015254974,-88949.1015625,0,0.157,134.9268,0.007501202,0.004071076,,,1.525879,1.96608,1,0,0.1349267,0.1349267,9.587041E-06,,,,,,10,-53.75939,-40.93842,,,,,,,,,,,,,,,,,,,,,34904960,0,6,6,1,,,,,,,,,,,,,,,,
,3895245107.78551,1.8094174861908,-88664.8359375,0,0.157,134.8916,0.005123606,0.001356357,,,1.525879,1.96608,1,0,0.1348915,0.1348915,3.193274E-06,,,,,,10,-54.11824,-40.95694,,,,,,,,,,,,,,,,,,,,,34904960,0,6,6,1,,,,,,,,,,,,,,,,
,3895245109.83867,1.80922091007233,-88350.7421875,0,0.157,134.8817,0.0159853,0.003363997,,,1.525879,1.96608,1,0,0.1348816,0.1348816,7.919281E-06,,,,,,10,-54.06787,-40.94733,,,,,,,,,,,,,,,,,,,,,34904960,0,6,6,1,,,,,,,,,,,,,,,,
,3895245111.78356,1.80974864959717,-88051.578125,0,0.157,134.8967,0.01901262,0.001749421,,,1.525879,1.96608,1,0,0.1348966,0.1348966,4.118818E-06,,,,,,10,-54.41872,-41.00837,,,,,,,,,,,,,,,,,,,,,34904960,0,6,6,1,,,,,,,,,,,,,,,,
,3895245113.74665,1.80962359905243,-87767.1171875,0,0.157,134.8899,0.01304837,0.00347035,,,1.525879,1.96608,1,0,0.1348898,0.1348898,8.170148E-06,,,,,,10,-54.62911,-41.08576,,,,,,,,,,,,,,,,,,,,,34904960,0,6,6,1,,,,,,,,,,,,,,,,
,3895245115.69487,1.80834352970123,-87467.9296875,0,0.157,134.8558,0.01505421,0.004054893,,,1.525879,1.96608,1,0,0.1348557,0.1348557,9.543903E-06,,,,,,10,-54.61405,-41.1047,,,,,,,,,,,,,,,,,,,,,34904960,0,6,6,1,,,,,,,,,,,,,,,,
,3895245117.71538,1.80768096446991,-87168.71875,0,0.157,134.8273,0.004508112,0.0007815709,,,1.525879,1.96608,1,0,0.1348272,0.1348272,1.839176E-06,,,,,,10,-54.51775,-41.05355,,,,,,,,,,,,,,,,,,,,,34904960,0,6,6,1,,,,,,,,,,,,,,,,
,3895245119.67887,1.80782842636108,-86869.640625,0,0.157,134.841,0.01188093,0.003163574,,,1.525879,1.96608,1,0,0.134841,0.134841,7.445214E-06,,,,,,10,-54.66232,-41.09543,,,,,,,,,,,,,,,,,,,,,34904960,0,6,6,1,,,,,,,,,,,,,,,,
,3895245121.62576,1.80712807178497,-86585.2890625,0,0.157,134.8177,0.005681201,0.002258919,,,1.525879,1.96608,1,0,0.1348177,0.1348177,5.315264E-06,,,,,,10,-54.4593,-41.14147,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
,3895245123.57106,1.80648624897003,-86301.0625,0,0.157,134.7888,0.003779377,0.002169273,,,1.525879,1.96608,1,0,0.1347888,0.1347888,5.103231E-06,,,,,,10,-54.54076,-41.24717,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
,3895245125.51331,1.80548059940338,-86001.625,0,0.157,134.7865,0.007313999,0.0012101,,,1.525879,1.96608,1,0,0.1347864,0.1347864,2.84672E-06,,,,,,10,-54.79364,-41.25745,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
,3895245127.45667,1.80569183826447,-85702.5234375,0,0.157,134.7839,0.01085867,0.0007032855,,,1.525879,1.96608,1,0,0.1347839,0.1347839,1.654424E-06,,,,,,10,-55.14518,-41.32948,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
,3895245129.50459,1.80654120445251,-85403.296875,0,0.157,134.7559,0.02266864,0.002106465,,,1.525879,1.96608,1,0,0.1347558,0.1347558,4.954265E-06,,,,,,10,-54.56688,-41.3343,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
,3895245131.45125,1.80624878406525,-85119.0625,0,0.157,134.7298,0.02400516,0.003254203,,,1.525879,1.96608,1,0,0.1347297,0.1347297,7.652183E-06,,,,,,10,-55.48062,-41.40269,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
,3895245133.41903,1.80555546283722,-84819.7421875,0,0.157,134.6413,0.002168757,0.001025951,,,1.525879,1.96608,1,0,0.1346413,0.1346413,2.410917E-06,,,,,,10,-55.4328,-41.40923,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
,3895245135.36174,1.80507349967957,-84520.4921875,0,0.157,134.6041,0.01793502,0.001627454,,,1.525879,1.96608,1,0,0.1346041,0.1346041,3.823352E-06,,,,,,10,-55.4022,-41.47464,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
,3895245137.30779,1.80457186698914,-84236.3125,0,0.157,134.5501,0.02404151,0.001486937,,,1.525879,1.96608,1,0,0.13455,0.13455,3.491835E-06,,,,,,10,-55.50154,-41.47646,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
,3895245139.30908,1.80464398860931,-83936.8984375,0,0.157,134.5182,0.01096144,-0.0007872803,,,1.525879,1.96608,1,0,0.1345181,0.1345181,-1.848364E-06,,,,,,10,-55.42774,-41.48943,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
,3895245141.35993,1.80383801460266,-83637.7421875,0,0.157,134.4724,0.0269865,-6.360912E-06,,,1.525879,1.96608,1,0,0.1344724,0.1344724,-1.492897E-08,,,,,,10,-55.71205,-41.64602,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
,3895245143.19778,1.8028392791748,-83353.515625,0,0.157,134.3849,0.02425062,0.002464791,,,1.525879,1.96608,1,0,0.1343849,0.1343849,5.781063E-06,,,,,,10,-55.82087,-41.61679,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
,3895245145.15769,1.80246520042419,-83069.34375,0,0.157,134.3207,0.005818421,0.0006271803,,,1.525879,1.96608,1,0,0.1343206,0.1343206,1.470322E-06,,,,,,10,-55.73993,-41.67017,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
,3895245147.20834,1.80328929424286,-82754.96875,0,0.157,134.2586,0.01516393,-0.001380108,,,1.525879,1.96608,1,0,0.1342586,0.1342586,-3.233944E-06,,,,,,10,-55.75899,-41.72908,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
,3895245149.15483,1.8030571937561,-82470.7421875,0,0.157,134.1707,0.02645304,0.002576559,,,1.525879,1.96608,1,0,0.1341706,0.1341706,6.033578E-06,,,,,,10,-56.2644,-41.70536,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
,3895245151.1137,1.80299913883209,-82171.46875,0,0.157,134.0962,0.01684521,0.002837267,,,1.525879,1.96608,1,0,0.1340962,0.1340962,6.640394E-06,,,,,,10,-55.59299,-41.7835,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
,3895245153.08098,1.80276584625244,-81872.1640625,0,0.157,134.0234,0.02665257,0.002085894,,,1.525879,1.96608,1,0,0.1340233,0.1340233,4.879214E-06,,,,,,10,-56.30856,-41.82934,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
,3895245155.01493,1.80304062366486,-81587.1328125,0,0.157,133.9484,0.0260939,0.002378036,,,1.525879,1.96608,1,0,0.1339484,0.1339484,5.559468E-06,,,,,,10,-56.21857,-41.85793,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
,3895245156.96,1.80373358726501,-81272.90625,0,0.157,133.8848,0.02311457,0.001403901,,,1.525879,1.96608,1,0,0.1338848,0.1338848,3.280538E-06,,,,,,10,-55.95497,-41.9035,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
,3895245159.04793,1.80269122123718,-80973.6796875,0,0.157,133.8146,0.02309044,0.00214802,,,1.525879,1.96608,1,0,0.1338145,0.1338145,5.016709E-06,,,,,,10,-56.21249,-41.90899,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
,3895245160.99309,1.80268526077271,-80689.3203125,0,0.157,133.7159,0.0212526,-0.0003489349,,,1.525879,1.96608,1,0,0.1337159,0.1337159,-8.143381E-07,,,,,,10,-56.6244,-41.96247,,,,,,,,,,,,,,,,,,,,,34904960,0,5,6,1,,,,,,,,,,,,,,,,
