Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16
,3908131357.35783,1.8585569858551,85144.8359375,60,0.169,985.1573,0.6785837,-0.01417346,,,1.525879,1.96608,0.1,0,0.09850736,0.09850736,-2.436812E-05,,,,,,10,-94.62392,-59.24502,,,,,,,,,,,,,,,,,,,,,47487872,0,6,6,1,,,,,,,,,,,,,,,,
,3908131362.03271,1.85628867149353,84225.6875,60,0.169,977.6821,0.6754128,-0.01415021,,,1.525879,1.96608,0.1,0,0.0977599,0.0977599,-2.414354E-05,,,,,,10,-83.46749,-58.98703,,,,,,,,,,,,,,,,,,,,,47487872,0,6,6,1,,,,,,,,,,,,,,,,
,3908131366.53944,1.84856510162354,83286.8359375,60,0.169,972.7271,0.6726291,-0.0140385,,,1.525879,1.96608,0.1,0,0.09726444,0.09726444,-2.383154E-05,,,,,,10,-79.68076,-58.80677,,,,,,,,,,,,,,,,,,,,,47487872,0,6,6,1,,,,,,,,,,,,,,,,
,3908131371.19606,1.84757018089294,82367.5859375,60,0.169,967.7827,0.6746511,-0.01384695,,,1.525879,1.96608,0.1,0,0.09677005,0.09677005,-2.338689E-05,,,,,,10,-77.54893,-58.76965,,,,,,,,,,,,,,,,,,,,,47487872,0,6,6,1,,,,,,,,,,,,,,,,
,3908131376.0351,1.85404026508331,81408.5625,60,0.169,960.375,0.6779724,-0.0134333,,,1.525879,1.96608,0.1,0,0.09602934,0.09602934,-2.251458E-05,,,,,,10,-75.8598,-58.68116,,,,,,,,,,,,,,,,,,,,,47487872,0,6,6,1,,,,,,,,,,,,,,,,
,3908131380.49769,1.85159373283386,80509.515625,60,0.169,955.3882,0.6817591,-0.01319573,,,1.525879,1.96608,0.1,0,0.0955307,0.0955307,-2.200157E-05,,,,,,10,-75.03864,-58.67988,,,,,,,,,,,,,,,,,,,,,47487872,0,6,6,1,,,,,,,,,,,,,,,,
,3908131385.23425,1.84480404853821,79570.5,60,0.169,950.3734,0.6799883,-0.01339117,,,1.525879,1.96608,0.1,0,0.09502926,0.09502926,-2.221025E-05,,,,,,10,-74.83808,-58.62269,,,,,,,,,,,,,,,,,,,,,47487872,0,6,6,1,,,,,,,,,,,,,,,,
,3908131389.9018,1.84484922885895,78631.3203125,60,0.169,942.8269,0.6833503,-0.013767,,,1.525879,1.96608,0.1,0,0.09427468,0.09427468,-2.265227E-05,,,,,,10,-76.4906,-58.54962,,,,,,,,,,,,,,,,,,,,,47487872,0,6,6,1,,,,,,,,,,,,,,,,
,3908131394.14015,1.84361898899078,77791.59375,60,0.169,937.7965,0.6912934,-0.01395136,,,1.525879,1.96608,0.1,0,0.09377169,0.09377169,-2.283315E-05,,,,,,10,-78.23584,-58.55756,,,,,,,,,,,,,,,,,,,,,47487872,0,6,6,1,,,,,,,,,,,,,,,,
,3908131398.91078,1.84332132339478,76852.3359375,60,0.169,932.7692,0.6782243,-0.01393789,,,1.525879,1.96608,0.1,0,0.09326901,0.09326901,-2.268881E-05,,,,,,10,-81.71996,-58.54239,,,,,,,,,,,,,,,,,,,,,47487872,0,6,6,1,,,,,,,,,,,,,,,,
,3908131403.64463,1.84705483913422,75893.1953125,60,0.169,925.2489,0.6754652,-0.01405294,,,1.525879,1.96608,0.1,0,0.09251704,0.09251704,-2.269166E-05,,,,,,10,-87.95703,-58.42252,,,,,,,,,,,,,,,,,,,,,47487872,0,6,6,1,,,,,,,,,,,,,,,,
