[Header]
;Copyright 2015, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,10/10/2023 11:00:31 PM
BYAPP, Electrical Transport Option, Release 1.1.3 Build 5
INFO, APPNAME, ETOption, Release 1.1.3 Build 5
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3906140413.93705,150.000396728516,-88541.9375,0,6.241,402.7126,0,0.1012237,,,0.4359754,2.293708,0.1,0,0.04026796,0.0402679,7.114085E-05,,,,,,30,-45.80687,-58.02957,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906140416.17741,149.999496459961,-88102.6171875,0,6.242,401.8623,0,0.08757722,,,0.4359754,2.293708,0.1,0,0.04018292,0.04018287,6.142E-05,,,,,,30,-45.61594,-59.28764,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906140418.42926,150.000930786133,-87663.1875,0,6.239,401.3398,0,0.1048578,,,0.4359754,2.293708,0.1,0,0.04013069,0.04013063,7.344368E-05,,,,,,30,-45.99503,-57.08162,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906140420.79626,150.001022338867,-87183.8203125,0,6.241,400.1654,0,0.09796448,,,0.4359754,2.293708,0.1,0,0.04001326,0.0400132,6.841475E-05,,,,,,30,-46.14803,-58.13305,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906140423.17762,150.000717163086,-86704.625,0,6.241,399.4382,0,0.09339823,,,0.4359754,2.293708,0.1,0,0.03994054,0.03994049,6.510731E-05,,,,,,30,-46.35528,-58.9479,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906140425.3514,149.999359130859,-86285.28125,0,6.242,398.8076,0,0.1044884,,,0.4359754,2.293708,0.1,0,0.03987749,0.03987743,7.272319E-05,,,,,,30,-46.38647,-57.08552,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906140427.72736,149.999710083008,-85805.6484375,0,6.243,397.7849,0,0.097782,,,0.4359754,2.293708,0.1,0,0.03977523,0.03977517,6.788108E-05,,,,,,30,-45.97898,-58.2315,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906140429.97927,150.001403808594,-85346.484375,0,6.243,397.3277,0,0.09858767,,,0.4359754,2.293708,0.1,0,0.03972951,0.03972945,6.836173E-05,,,,,,30,-46.70702,-57.59583,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906140432.34026,150.000869750977,-84887.09375,0,6.24,396.6421,0,0.106543,,,0.4359754,2.293708,0.1,0,0.03966096,0.03966089,7.375058E-05,,,,,,30,-46.43821,-58.02415,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
