Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3906170385.50064,20.0000133514404,88661.234375,0,1.535,-481.1808,0,179.7928,,,0.4359754,2.293708,0.1,0,0.04811448,-0.04811417,0.0001740219,,,,,,30,-56.44454,-49.82218,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906170387.78154,20.0000953674316,88201.578125,0,1.535,-480.08,0,179.793,,,0.4359754,2.293708,0.1,0,0.04800441,-0.0480041,0.0001734065,,,,,,30,-56.77206,-49.94508,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906170390.0418,20.0001220703125,87762.390625,0,1.535,-479.0274,0,179.7929,,,0.4359754,2.293708,0.1,0,0.04789915,-0.04789884,0.0001731028,,,,,,30,-56.89301,-50.06345,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906170392.31219,20.0001754760742,87302.6328125,0,1.535,-477.9916,0,179.7931,,,0.4359754,2.293708,0.1,0,0.04779558,-0.04779527,0.0001726267,,,,,,30,-56.53088,-50.14919,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906170394.71219,19.9999389648438,86823.3671875,0,1.534,-476.9959,0,179.7933,,,0.4359754,2.293708,0.1,0,0.04769602,-0.04769571,0.0001720639,,,,,,30,-56.90345,-49.9795,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906170397.00219,19.9998149871826,86363.4375,0,1.534,-475.9687,0,179.7932,,,0.4359754,2.293708,0.1,0,0.0475933,-0.04759299,0.0001717947,,,,,,30,-56.96088,-50.07782,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906170399.1722,20.0002689361572,85944.1171875,0,1.534,-474.9865,0,179.795,,,0.4359754,2.293708,0.1,0,0.0474951,-0.04749479,0.000169973,,,,,,30,-57.3916,-50.03799,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906170401.55249,20.0001201629639,85444.2421875,0,1.534,-474.0244,0,179.794,,,0.4359754,2.293708,0.1,0,0.0473989,-0.04739859,0.0001704366,,,,,,30,-57.46346,-49.99774,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906170403.84235,20.0002784729004,85004.921875,0,1.533,-473.0739,0,179.7956,,,0.4359754,2.293708,0.1,0,0.04730385,-0.04730355,0.0001687595,,,,,,30,-57.42674,-50.05785,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
