[Header]
;Copyright 2015, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,10/11/2023 2:36:12 AM
BYAPP, Electrical Transport Option, Release 1.1.3 Build 5
INFO, APPNAME, ETOption, Release 1.1.3 Build 5
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3906153355.31203,79.999137878418,88481.34375,0,4.034,-593.9837,0,179.8968,,,0.4359754,2.293708,0.1,0,0.05939366,-0.05939356,0.0001070052,,,,,,30,-38.91418,-54.82268,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906153357.47236,79.9992599487305,88041.7421875,0,4.035,-592.5099,0,179.889,,,0.4359754,2.293708,0.1,0,0.0592463,-0.05924619,0.0001148182,,,,,,30,-38.75737,-54.71482,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906153359.84234,79.9996566772461,87562.3359375,0,4.034,-590.9744,0,179.8987,,,0.4359754,2.293708,0.1,0,0.05909274,-0.05909265,0.0001044802,,,,,,30,-38.86116,-55.01022,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906153362.10267,79.9989624023438,87122.359375,0,4.034,-589.1325,0,179.8965,,,0.4359754,2.293708,0.1,0,0.05890857,-0.05890847,0.000106398,,,,,,30,-38.97938,-55.10217,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906153364.59299,79.9991455078125,86623.234375,0,4.034,-587.5883,0,179.8996,,,0.4359754,2.293708,0.1,0,0.05875416,-0.05875407,0.0001029584,,,,,,30,-38.83793,-55.33953,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906153366.64333,79.9994125366211,86203.375,0,4.033,-586.0909,0,179.9,,,0.4359754,2.293708,0.1,0,0.05860443,-0.05860434,0.0001023058,,,,,,30,-39.0526,-55.33428,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906153368.93333,79.9990539550781,85744.03125,0,4.034,-584.4322,0,179.8931,,,0.4359754,2.293708,0.1,0,0.05843858,-0.05843848,0.0001090353,,,,,,30,-38.83021,-54.79317,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906153371.34334,79.999382019043,85264.3984375,0,4.033,-582.9053,0,179.9001,,,0.4359754,2.293708,0.1,0,0.05828589,-0.0582858,0.0001015945,,,,,,30,-38.99256,-55.06174,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906153373.63301,79.9989242553711,84824.7109375,0,4.033,-581.339,0,179.8949,,,0.4359754,2.293708,0.1,0,0.05812928,-0.05812919,0.0001066469,,,,,,30,-39.06451,-54.81129,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906153375.91385,79.999641418457,84365.1484375,0,4.033,-579.833,0,179.8954,,,0.4359754,2.293708,0.1,0,0.05797869,-0.0579786,0.0001058765,,,,,,30,-39.26907,-55.21461,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906153378.29446,79.9996490478516,83885.5390625,0,4.033,-578.2631,0,179.8949,,,0.4359754,2.293708,0.1,0,0.05782172,-0.05782162,0.0001060826,,,,,,30,-39.17324,-55.20099,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906153380.47464,79.999267578125,83446.1015625,0,4.033,-576.7611,0,179.8973,,,0.4359754,2.293708,0.1,0,0.05767152,-0.05767143,0.0001033958,,,,,,30,-39.24657,-55.61854,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906153382.7645,79.9983749389648,82986.5546875,0,4.032,-575.4205,0,179.894,,,0.4359754,2.293708,0.1,0,0.05753748,-0.05753738,0.0001064039,,,,,,30,-39.37558,-54.93593,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906153385.06487,79.9991455078125,82546.9765625,0,4.032,-573.5168,0,179.9042,,,0.4359754,2.293708,0.1,0,0.05734712,-0.05734703,9.588046E-05,,,,,,30,-39.46814,-57.07761,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
