Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16
,3908194500.36822,200.050430297852,-84947.53125,95,5.285,291.948,0.06713292,-0.03603449,,,1.525879,1.96608,0.1,0,0.02919238,0.02919237,-1.835968E-05,,,,,,30,-73.83607,-86.45638,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
,3908194504.76252,200.048706054688,-84068.71875,95,5.286,291.8792,0.08872297,-0.03533469,,,1.525879,1.96608,0.1,0,0.02918549,0.02918549,-1.799889E-05,,,,,,30,-76.33131,-81.75607,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
,3908194509.85568,200.048187255859,-83049.9921875,95,5.287,292.2338,0.118727,-0.03032542,,,1.525879,1.96608,0.1,0,0.02922095,0.02922094,-1.546602E-05,,,,,,30,-68.48734,-75.07608,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
,3908194514.60047,200.046859741211,-82091.1171875,95,5.291,291.6513,0.1412338,-0.03540188,,,1.525879,1.96608,0.1,0,0.02916271,0.0291627,-1.801903E-05,,,,,,30,-80.99158,-92.21832,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
,3908194519.19915,200.045211791992,-81191.59375,95,5.292,291.7632,0.03542963,-0.03217118,,,1.525879,1.96608,0.1,0,0.0291739,0.02917389,-1.638094E-05,,,,,,30,-69.517,-86.91013,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
,3908194523.96076,200.043746948242,-80232.7578125,95,5.291,291.8774,0.1250516,-0.03055247,,,1.525879,1.96608,0.1,0,0.02918531,0.02918531,-1.556281E-05,,,,,,30,-75.65697,-77.78344,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
,3908194528.8124,200.042633056641,-79254.265625,95,5.293,291.4705,0.1202609,-0.02777744,,,1.525879,1.96608,0.1,0,0.02914462,0.02914462,-1.412954E-05,,,,,,30,-81.57782,-78.77518,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
,3908194533.71079,200.041564941406,-78275.53125,95,5.291,291.9112,0.07713003,-0.02345818,,,1.525879,1.96608,0.1,0,0.02918869,0.02918869,-1.19505E-05,,,,,,30,-73.7201,-79.13589,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
,3908194538.17641,200.040710449219,-77396.125,95,5.291,291.2603,0.1563652,-0.03746463,,,1.525879,1.96608,0.1,0,0.02912361,0.02912361,-1.904338E-05,,,,,,30,-82.5769,-90.95795,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
,3908194542.84845,200.03938293457,-76457.265625,95,5.291,290.8446,0.08971103,-0.03241386,,,1.525879,1.96608,0.1,0,0.02908204,0.02908204,-1.645254E-05,,,,,,30,-75.70695,-91.40321,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
