Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16
,3906062374.44419,1.85021817684174,89920.75,8.61285564351223E+26,0.35,1733.579,0.3822996,-0.03416664,,,3.051758,2.29376,0.1,0,0.1733429,0.1733429,-0.0001033679,,,,,,10,-57.34147,-41.71745,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906062376.69712,1.85030889511108,89807.96875,8.61285564351223E+26,0.35,1731.87,0.5288607,-0.03396432,,,3.051758,2.29376,0.1,0,0.173172,0.1731719,-0.0001026545,,,,,,10,-57.26859,-41.70969,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906062379.07916,1.84973633289337,89694.890625,8.61285564351223E+26,0.35,1729.997,0.6063418,-0.03376915,,,3.051758,2.29376,0.1,0,0.1729847,0.1729846,-0.0001019542,,,,,,10,-57.27981,-41.71037,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906062381.32909,1.84909355640411,89581.5078125,8.61285564351223E+26,0.35,1728.091,0.5099757,-0.03376838,,,3.051758,2.29376,0.1,0,0.1727941,0.1727941,-0.0001018396,,,,,,10,-57.34447,-41.71796,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906062383.70533,1.84961080551147,89463.234375,8.61285564351223E+26,0.35,1726.206,0.5229414,-0.03376302,,,3.051758,2.29376,0.1,0,0.1726056,0.1726056,-0.0001017123,,,,,,10,-57.34615,-41.71585,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906062385.95669,1.85008323192596,89354.6171875,8.61285564351223E+26,0.349,1724.289,0.5439196,-0.03374571,,,3.051758,2.29376,0.1,0,0.1724139,0.1724139,-0.0001015473,,,,,,10,-57.37052,-41.72948,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906062388.22428,1.85013151168823,89240.9375,8.61285564351223E+26,0.349,1722.366,0.6381138,-0.03366105,,,3.051758,2.29376,0.1,0,0.1722217,0.1722217,-0.0001011796,,,,,,10,-57.38651,-41.73675,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906062390.48088,1.85018885135651,89132.21875,8.61285564351223E+26,0.349,1720.452,0.4599604,-0.03368759,,,3.051758,2.29376,0.1,0,0.1720302,0.1720302,-0.0001011468,,,,,,10,-57.40543,-41.73894,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906062392.85527,1.85009062290192,89013.5859375,8.61285564351223E+26,0.349,1718.542,0.4766022,-0.03353343,,,3.051758,2.29376,0.1,0,0.1718394,0.1718393,-0.0001005722,,,,,,10,-57.40257,-41.74548,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906062395.10898,1.8500908613205,88900.1640625,8.61285564351223E+26,0.349,1716.639,0.6083377,-0.03357774,,,3.051758,2.29376,0.1,0,0.1716491,0.171649,-0.0001005936,,,,,,10,-57.41662,-41.74389,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906062397.48527,1.85008955001831,88786,8.61285564351223E+26,0.349,1714.724,0.6016986,-0.03349607,,,3.051758,2.29376,0.1,0,0.1714576,0.1714576,-0.000100237,,,,,,10,-57.42578,-41.74873,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906062399.63677,1.84981596469879,88677.0234375,8.61285564351223E+26,0.349,1712.781,0.5272763,-0.0334983,,,3.051758,2.29376,0.1,0,0.1712633,0.1712632,-0.00010013,,,,,,10,-57.4959,-41.75846,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906062402.01212,1.84979283809662,88558.703125,8.61285564351223E+26,0.349,1710.877,0.6104355,-0.03361646,,,3.051758,2.29376,0.1,0,0.1710729,0.1710729,-0.0001003715,,,,,,10,-57.50019,-41.76609,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906062404.33312,1.84983813762665,88445.015625,8.61285564351223E+26,0.349,1708.961,0.6344633,-0.03340283,,,3.051758,2.29376,0.1,0,0.1708813,0.1708812,-9.962197E-05,,,,,,10,-57.49207,-41.77778,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906062406.5746,1.85000491142273,88336.1953125,8.61285564351223E+26,0.348,1707.034,0.4806705,-0.03333293,,,3.051758,2.29376,0.1,0,0.1706886,0.1706886,-9.930143E-05,,,,,,10,-57.5359,-41.79164,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906062408.85692,1.85009717941284,88222.3359375,8.61285564351223E+26,0.348,1705.118,0.5453052,-0.03340662,,,3.051758,2.29376,0.1,0,0.170497,0.170497,-9.940923E-05,,,,,,10,-57.45759,-41.80429,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906062411.32775,1.85018229484558,88098.8984375,8.61285564351223E+26,0.348,1703.176,0.6268564,-0.0333145,,,3.051758,2.29376,0.1,0,0.1703028,0.1703028,-9.902218E-05,,,,,,10,-57.50191,-41.82624,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906062413.39272,1.85033857822418,88000.2734375,8.61285564351223E+26,0.348,1701.231,0.5149935,-0.03320505,,,3.051758,2.29376,0.1,0,0.1701084,0.1701084,-9.858418E-05,,,,,,10,-57.47182,-41.85296,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906062415.75476,1.85019314289093,87881.65625,8.61285564351223E+26,0.348,1699.289,0.6238317,-0.03337201,,,3.051758,2.29376,0.1,0,0.1699142,0.1699142,-9.896679E-05,,,,,,10,-57.49671,-41.86604,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906062418.01272,1.84996998310089,87773.109375,8.61285564351223E+26,0.348,1697.36,0.637453,-0.03319978,,,3.051758,2.29376,0.1,0,0.1697213,0.1697213,-9.834424E-05,,,,,,10,-57.50258,-41.88709,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906062420.33387,1.85001480579376,87654.6015625,8.61285564351223E+26,0.348,1695.4,0.4769764,-0.03333469,,,3.051758,2.29376,0.1,0,0.1695253,0.1695253,-9.862983E-05,,,,,,10,-57.52068,-41.90745,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
