Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16
,3906108425.40116,199.999633789063,89893.40625,8.61285564351223E+26,5.836,915.4084,0.2509776,-0.01501993,,,3.051758,2.29376,0.1,0,0.09153307,0.09153307,-2.399514E-05,,,,,,10,-90.40724,-79.68049,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906108427.76521,200.002670288086,89421.8828125,8.61285564351223E+26,5.836,912.4193,1.316228,-0.01267618,,,3.051758,2.29376,0.1,0,0.09123418,0.09123418,-2.018475E-05,,,,,,10,-88.05142,-79.63614,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906108429.92793,200.002716064453,88982.6015625,8.61285564351223E+26,5.836,907.601,1.340508,-0.01246447,,,3.051758,2.29376,0.1,0,0.0907524,0.0907524,-1.974283E-05,,,,,,10,-114.336,-80.69914,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906108432.28929,200.002456665039,88522.8671875,8.61285564351223E+26,5.837,902.6862,1.339966,-0.01207178,,,3.051758,2.29376,0.1,0,0.09026096,0.09026096,-1.90173E-05,,,,,,10,-94.33664,-79.49133,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906108434.6513,200.001876831055,88043.3125,8.61285564351223E+26,5.837,897.8925,1.590827,-0.01154857,,,3.051758,2.29376,0.1,0,0.08978163,0.08978163,-1.809644E-05,,,,,,10,-90.23598,-79.43098,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906108436.90476,199.999374389648,87583.703125,8.61285564351223E+26,5.835,892.8613,1.431684,-0.01162277,,,3.051758,2.29376,0.1,0,0.08927856,0.08927856,-1.811065E-05,,,,,,10,-93.06474,-80.45323,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906108439.1747,200.002502441406,87143.8046875,8.61285564351223E+26,5.836,888.0242,1.424271,-0.009545765,,,3.051758,2.29376,0.1,0,0.08879489,0.08879489,-1.479368E-05,,,,,,10,-97.72941,-78.69379,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906108441.43522,200.002746582031,86684.609375,8.61285564351223E+26,5.835,883.1405,1.198261,-0.0112121,,,3.051758,2.29376,0.1,0,0.08830657,0.08830657,-1.728054E-05,,,,,,10,-87.68999,-79.13405,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906108443.79773,200.002838134766,86224.7734375,8.61285564351223E+26,5.836,878.1317,1.418292,-0.01083765,,,3.051758,2.29376,0.1,0,0.08780573,0.08780573,-1.660869E-05,,,,,,10,-93.39443,-81.74933,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906108446.07254,199.999771118164,85765.5,8.61285564351223E+26,5.836,873.2221,1.31746,-0.01167398,,,3.051758,2.29376,0.1,0,0.08731481,0.08731481,-1.779034E-05,,,,,,10,-88.33386,-82.19726,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906108448.43501,200.000518798828,85285.4375,8.61285564351223E+26,5.835,868.3203,1.513966,-0.01122404,,,3.051758,2.29376,0.1,0,0.08682468,0.08682468,-1.700865E-05,,,,,,10,-89.7871,-80.8058,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906108450.60457,200.002838134766,84845.9609375,8.61285564351223E+26,5.836,863.5001,1.444626,-0.01080384,,,3.051758,2.29376,0.1,0,0.0863427,0.0863427,-1.628101E-05,,,,,,10,-87.40285,-80.63585,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906108452.96524,199.999221801758,84386.5390625,8.61285564351223E+26,5.836,858.5372,1.297542,-0.01051901,,,3.051758,2.29376,0.1,0,0.08584645,0.08584645,-1.576067E-05,,,,,,10,-104.8905,-79.0854,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906108455.23486,199.998519897461,83946.921875,8.61285564351223E+26,5.835,853.6564,1.504627,-0.01071771,,,3.051758,2.29376,0.1,0,0.08535842,0.08535842,-1.596709E-05,,,,,,10,-97.01643,-80.01694,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906108457.52231,200.00016784668,83467.0078125,8.61285564351223E+26,5.836,848.8477,1.462109,-0.009713771,,,3.051758,2.29376,0.1,0,0.08487759,0.08487759,-1.438992E-05,,,,,,10,-93.10853,-79.54449,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906108459.88635,199.999389648438,83007.71875,8.61285564351223E+26,5.833,843.876,1.372552,-0.0102667,,,3.051758,2.29376,0.1,0,0.08438046,0.08438046,-1.511995E-05,,,,,,10,-94.87617,-80.56209,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
