[Header]
;Copyright 2015, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,7/28/2023 8:47:26 PM
BYAPP, Electrical Transport Option, Release 1.1.3 Build 5
INFO, APPNAME, ETOption, Release 1.1.3 Build 5
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3899738845.05796,1.79999697208405,89616.1796875,100,0.189,439.4674,0,-0.04863332,,,0.4359754,2.293708,0.1,0,0.04394308,0.04394306,-3.729939E-05,,,,,,30,-78.3573,-40.1566,,,,,,,,,,,,,,,,,,,,,48012160,0,5,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899738845.66967,1.79989445209503,89598.140625,100,0.189,439.4839,0,-0.05225717,,,0.4359754,2.293708,0.1,0,0.04394474,0.04394472,-4.008022E-05,,,,,,30,-80.49738,-40.20744,,,,,,,,,,,,,,,,,,,,,48012160,0,5,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899738846.37825,1.79998052120209,89577.171875,100,0.189,439.4839,0,-0.05225717,,,0.4359754,2.293708,0.1,0,0.04394474,0.04394472,-4.008022E-05,,,,,,30,-80.49738,-40.20744,,,,,,,,,,,,,,,,,,,,,48012160,0,5,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899738850.8956,1.80002415180206,89439.484375,100,0.189,439.5354,0,-0.0520402,,,0.4359754,2.293708,0.1,0,0.04394988,0.04394986,-3.991848E-05,,,,,,30,-84.572,-40.26934,,,,,,,,,,,,,,,,,,,,,48012160,0,5,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899738856.305,1.79999816417694,89277.6171875,100,0.189,439.5769,0,-0.05326944,,,0.4359754,2.293708,0.1,0,0.04395404,0.04395402,-4.086526E-05,,,,,,30,-80.87421,-40.26864,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899738861.67192,1.80005586147308,89115.21875,100,0.189,439.6224,0,-0.05399649,,,0.4359754,2.293708,0.1,0,0.04395859,0.04395857,-4.142729E-05,,,,,,30,-83.17756,-40.28444,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899738866.86711,1.80004298686981,88959.609375,100,0.189,439.53,0,-0.0567269,,,0.4359754,2.293708,0.1,0,0.04394935,0.04394933,-4.351298E-05,,,,,,30,-86.13531,-40.25282,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899738872.10266,1.79992616176605,88803.6328125,100,0.189,439.5784,0,-0.05155298,,,0.4359754,2.293708,0.1,0,0.04395418,0.04395416,-3.954861E-05,,,,,,30,-82.02022,-40.33552,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899738877.1811,1.8001446723938,88649.828125,100,0.189,439.6171,0,-0.05210888,,,0.4359754,2.293708,0.1,0,0.04395805,0.04395803,-3.997859E-05,,,,,,30,-79.34638,-40.30361,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
