[Header]
;Copyright 2015, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,7/28/2023 5:48:47 AM
BYAPP, Electrical Transport Option, Release 1.1.3 Build 5
INFO, APPNAME, ETOption, Release 1.1.3 Build 5
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3899684926.10977,1.80031585693359,89616.1171875,40,0.189,668.6668,0,-0.02443611,,,0.4359754,2.293708,0.1,0,0.06686106,0.06686105,-2.851561E-05,,,,,,30,-70.13689,-29.46027,,,,,,,,,,,,,,,,,,,,,48012160,0,5,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899684926.82819,1.8000819683075,89592.21875,40,0.189,668.3169,0,-0.02626359,,,0.4359754,2.293708,0.1,0,0.06682607,0.06682606,-3.063215E-05,,,,,,30,-70.15806,-29.47595,,,,,,,,,,,,,,,,,,,,,48012160,0,5,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899684931.78593,1.79979753494263,89442.4765625,40,0.189,667.7326,0,-0.02692176,,,0.4359754,2.293708,0.1,0,0.06676765,0.06676764,-3.137234E-05,,,,,,30,-70.62393,-29.50188,,,,,,,,,,,,,,,,,,,,,48012160,0,5,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899684937.13686,1.7999050617218,89283.5,40,0.189,667.2055,0,-0.02719293,,,0.4359754,2.293708,0.1,0,0.06671494,0.06671494,-3.166332E-05,,,,,,30,-68.82142,-29.51701,,,,,,,,,,,,,,,,,,,,,48012160,0,5,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899684942.15249,1.80008924007416,89133.390625,40,0.189,666.619,0,-0.02740348,,,0.4359754,2.293708,0.1,0,0.06665629,0.06665628,-3.188044E-05,,,,,,30,-71.31001,-29.55668,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899684947.47592,1.79983043670654,88971.4921875,40,0.189,665.7333,0,-0.02672657,,,0.4359754,2.293708,0.1,0,0.06656773,0.06656773,-3.105163E-05,,,,,,30,-69.61013,-29.5595,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899684953.0338,1.79980683326721,88806.5703125,40,0.189,665.2091,0,-0.02839761,,,0.4359754,2.293708,0.1,0,0.06651532,0.06651531,-3.29671E-05,,,,,,30,-78.44795,-29.56569,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899684957.81192,1.79987418651581,88664.7109375,40,0.189,664.6237,0,-0.02653367,,,0.4359754,2.293708,0.1,0,0.06645678,0.06645677,-3.077613E-05,,,,,,30,-73.49977,-29.61739,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899684961.6093,1.80019068717957,88547.9453125,40,0.189,664.0895,0,-0.02889158,,,0.4359754,2.293708,0.1,0,0.06640337,0.06640336,-3.348411E-05,,,,,,30,-71.59404,-29.61695,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
