Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3899692128.07387,1.80005240440369,89610.3125,50,0.189,623.2691,0,-0.02886922,,,0.4359754,2.293708,0.1,0,0.06232167,0.06232167,-3.140159E-05,,,,,,30,-66.11131,-31.71156,,,,,,,,,,,,,,,,,,,,,48012160,0,5,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899692144.05502,1.8000396490097,89130.34375,50,0.189,621.624,0,-0.03288655,,,0.4359754,2.293708,0.1,0,0.06215719,0.06215718,-3.567689E-05,,,,,,30,-68.56124,-31.7891,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899692149.49375,1.79984223842621,88968.5703125,50,0.189,620.9146,0,-0.02964545,,,0.4359754,2.293708,0.1,0,0.06208624,0.06208624,-3.212409E-05,,,,,,30,-67.94073,-31.81391,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899692158.64122,1.79989659786224,88691.8203125,50,0.189,619.9869,0,-0.0319456,,,0.4359754,2.293708,0.1,0,0.06199349,0.06199348,-3.456483E-05,,,,,,30,-67.53067,-31.86938,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899692163.96425,1.79996752738953,88532.953125,50,0.19,619.5752,0,-0.0319816,,,0.4359754,2.293708,0.1,0,0.06195232,0.06195231,-3.458081E-05,,,,,,30,-69.60623,-31.87099,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899692169.18133,1.79997932910919,88377.1015625,50,0.19,619.0314,0,-0.02990865,,,0.4359754,2.293708,0.1,0,0.06189794,0.06189794,-3.2311E-05,,,,,,30,-68.01744,-31.90049,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899692174.19371,1.80000638961792,88226.7578125,50,0.19,618.2808,0,-0.03095219,,,0.4359754,2.293708,0.1,0,0.06182288,0.06182288,-3.339781E-05,,,,,,30,-68.73218,-31.93831,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899692179.74304,1.80000638961792,88058.8515625,50,0.19,617.869,0,-0.03153902,,,0.4359754,2.293708,0.1,0,0.06178171,0.0617817,-3.400834E-05,,,,,,30,-69.25139,-31.97711,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899692184.83376,1.79989302158356,87905.9296875,50,0.189,617.4308,0,-0.03040487,,,0.4359754,2.293708,0.1,0,0.0617379,0.06173789,-3.276214E-05,,,,,,30,-69.68783,-31.99818,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
