[Header]
;Copyright 2015, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,7/2/2023 12:21:31 AM
BYAPP, Electrical Transport Option, Release 1.1.3 Build 5
INFO, APPNAME, ETOption, Release 1.1.3 Build 5
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

,3897418881.56104,30.0017566680908,88681.1015625,0,1.881,590.3596,0,-4.638514,,,0.4359754,2.293708,1,0,0.5922986,0.5903586,-0.04789856,,,,,,3,-34.8044,-31.46546,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897418881.85096,30.0017566680908,88621.2421875,0,1.881,587.6597,0,-4.914316,,,0.4359754,2.293708,1,0,0.5898269,0.5876587,-0.05052804,,,,,,3,-38.16293,-30.95097,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897418903.00168,30.0000228881836,84385.1953125,0,1.883,564.5887,0,-5.063974,,,0.4359754,2.293708,1,0,0.5668001,0.5645878,-0.05003031,,,,,,3,-38.08076,-32.94754,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897418908.13206,30.0007553100586,83346.25,0,1.883,559.3844,0,-5.097528,,,0.4359754,2.293708,1,0,0.5616047,0.5593835,-0.04989932,,,,,,3,-38.07962,-33.37699,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897418913.72456,29.999605178833,82247.328125,0,1.884,551.5131,0,-5.140623,,,0.4359754,2.293708,1,0,0.5537395,0.5515122,-0.04961532,,,,,,3,-38.06966,-34.06353,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897418918.70679,30.0002689361572,81248.21875,0,1.884,546.2721,0,-5.17419,,,0.4359754,2.293708,1,0,0.5485064,0.5462713,-0.04946648,,,,,,3,-37.99665,-34.53653,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897418923.74083,30.0001811981201,80248.9609375,0,1.884,540.9679,0,-5.203722,,,0.4359754,2.293708,1,0,0.5432059,0.540967,-0.04926728,,,,,,3,-37.97058,-34.93039,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897418928.76487,29.9997940063477,79250.0078125,0,1.884,535.6322,0,-5.234401,,,0.4359754,2.293708,1,0,0.5378744,0.5356314,-0.04907056,,,,,,3,-38.00683,-35.40623,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897418934.0639,29.9994564056396,78170.84375,0,1.885,530.2787,0,-5.268498,,,0.4359754,2.293708,1,0,0.5325277,0.530278,-0.04889836,,,,,,3,-37.9852,-35.84918,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
