[Header]
;Copyright 2015, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,7/29/2023 12:51:33 AM
BYAPP, Electrical Transport Option, Release 1.1.3 Build 5
INFO, APPNAME, ETOption, Release 1.1.3 Build 5
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3899753491.97708,1.80008924007416,88583.1640625,90,0.189,438.9753,0,-0.08840076,,,0.4359754,2.293708,0.1,0,0.04389391,0.04389386,-6.77232E-05,,,,,,30,-75.42441,-43.86803,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899753497.51622,1.79993784427643,88311.46875,90,0.189,438.9391,0,-0.09329545,,,0.4359754,2.293708,0.1,0,0.04389029,0.04389023,-7.14671E-05,,,,,,30,-74.21477,-43.89272,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899753501.61572,1.79995810985565,88108.8203125,90,0.189,438.9771,0,-0.09346443,,,0.4359754,2.293708,0.1,0,0.04389409,0.04389403,-7.160274E-05,,,,,,30,-81.22411,-44.06667,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899753506.76337,1.800008893013,87857.046875,90,0.189,438.9582,0,-0.09860325,,,0.4359754,2.293708,0.1,0,0.04389221,0.04389215,-7.553632E-05,,,,,,30,-73.58766,-44.04403,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899753512.08202,1.80001950263977,87595.3515625,90,0.189,438.9604,0,-0.0961054,,,0.4359754,2.293708,0.1,0,0.04389244,0.04389237,-7.362319E-05,,,,,,30,-72.34161,-43.97968,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899753517.49253,1.79995810985565,87323.265625,90,0.189,438.9236,0,-0.09491348,,,0.4359754,2.293708,0.1,0,0.04388875,0.04388869,-7.2704E-05,,,,,,30,-77.34411,-44.05988,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899753522.82201,1.79992830753326,87061.609375,90,0.189,438.9546,0,-0.1020495,,,0.4359754,2.293708,0.1,0,0.04389185,0.04389178,-7.817574E-05,,,,,,30,-79.12804,-44.21414,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899753528.27589,1.79993903636932,86790.0859375,90,0.189,438.9584,0,-0.09836367,,,0.4359754,2.293708,0.1,0,0.04389223,0.04389217,-7.535283E-05,,,,,,30,-80.53598,-44.14513,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899753533.41695,1.7998753786087,86537.890625,90,0.19,438.9597,0,-0.09947734,,,0.4359754,2.293708,0.1,0,0.04389236,0.0438923,-7.62062E-05,,,,,,30,-74.06668,-44.14569,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899753542.99474,1.7999095916748,86063.796875,90,0.19,438.9428,0,-0.05433372,,,0.4359754,2.293708,0.1,0,0.04389063,0.04389061,-4.162158E-05,,,,,,30,-76.12443,-44.14349,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899753548.10768,1.80003237724304,85811.9453125,90,0.189,438.9897,0,-0.0534579,,,0.4359754,2.293708,0.1,0,0.04389532,0.0438953,-4.095505E-05,,,,,,30,-75.35352,-44.16115,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899753553.43848,1.79998278617859,85549.78125,90,0.189,438.9794,0,-0.05280904,,,0.4359754,2.293708,0.1,0,0.04389429,0.04389427,-4.0457E-05,,,,,,30,-74.80202,-44.10369,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899753558.74962,1.79986584186554,85283.078125,90,0.19,438.976,0,-0.05231486,,,0.4359754,2.293708,0.1,0,0.04389394,0.04389393,-4.007809E-05,,,,,,30,-75.07382,-44.19401,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
