[Header]
;Copyright 2015, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,7/29/2023 6:38:25 AM
BYAPP, Electrical Transport Option, Release 1.1.3 Build 5
INFO, APPNAME, ETOption, Release 1.1.3 Build 5
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3899774304.23154,15.0002689361572,89384.34375,90,1.099,366.9918,0,-0.05048539,,,0.4359754,2.293708,0.1,0,0.03669613,0.03669611,-3.233429E-05,,,,,,30,-70.7915,-60.03524,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899774316.59102,15.00013256073,88771.09375,90,1.099,367.1301,0,-0.06132024,,,0.4359754,2.293708,0.1,0,0.03670996,0.03670994,-3.928847E-05,,,,,,30,-79.20034,-59.50389,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899774322.01155,15.0001945495605,88499.40625,90,1.099,366.9789,0,-0.06094821,,,0.4359754,2.293708,0.1,0,0.03669485,0.03669482,-3.903402E-05,,,,,,30,-69.18748,-60.18806,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899774327.36365,15.0001449584961,88237.3984375,90,1.099,367.021,0,-0.0559756,,,0.4359754,2.293708,0.1,0,0.03669905,0.03669903,-3.585345E-05,,,,,,30,-71.79152,-60.76694,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899774336.47471,14.9999723434448,87787.96875,90,1.099,366.9348,0,-0.05789458,,,0.4359754,2.293708,0.1,0,0.03669043,0.03669041,-3.707388E-05,,,,,,30,-71.83849,-59.82041,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899774341.77579,15.0002813339233,87526.3515625,90,1.099,366.847,0,-0.05672283,,,0.4359754,2.293708,0.1,0,0.03668165,0.03668163,-3.631484E-05,,,,,,30,-68.15321,-60.5014,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899774347.29605,15.0002193450928,87254.2265625,90,1.099,366.8387,0,-0.05775535,,,0.4359754,2.293708,0.1,0,0.03668083,0.03668081,-3.697504E-05,,,,,,30,-71.02277,-59.7035,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899774352.84979,14.9996948242188,86977.90625,90,1.1,367.0324,0,-0.05949101,,,0.4359754,2.293708,0.1,0,0.03670019,0.03670017,-3.810631E-05,,,,,,30,-71.06808,-60.57235,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899774357.90279,15.0004596710205,86731.0625,90,1.1,367.0547,0,-0.05565535,,,0.4359754,2.293708,0.1,0,0.03670243,0.03670241,-3.56516E-05,,,,,,30,-70.58282,-59.81605,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
