Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3899799493.51383,49.9998893737793,89379.2421875,90,3.671,271.6513,0,-0.04349967,,,0.4359754,2.293708,0.1,0,0.02716288,0.02716287,-2.06224E-05,,,,,,30,-75.09263,-74.61749,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899799509.11976,49.9994087219238,88607.8046875,90,3.684,271.553,0,-0.03738341,,,0.4359754,2.293708,0.1,0,0.02715305,0.02715304,-1.771638E-05,,,,,,30,-77.71141,-74.63213,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899799514.38068,50.000431060791,88346.0234375,90,3.689,271.5045,0,-0.04046071,,,0.4359754,2.293708,0.1,0,0.02714819,0.02714819,-1.917131E-05,,,,,,30,-81.61047,-73.3098,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899799519.5685,50.000316619873,88088.9921875,90,3.693,271.2455,0,-0.06341714,,,0.4359754,2.293708,0.1,0,0.02712231,0.02712229,-3.001999E-05,,,,,,30,-68.26706,-70.95502,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899799524.78007,50.0003356933594,87832.3203125,90,3.698,271.4904,0,-0.04636394,,,0.4359754,2.293708,0.1,0,0.02714679,0.02714678,-2.196727E-05,,,,,,30,-79.41898,-76.70898,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899799529.8934,50.000431060791,87580.296875,90,3.702,271.6538,0,-0.04554103,,,0.4359754,2.293708,0.1,0,0.02716313,0.02716312,-2.159037E-05,,,,,,30,-73.06306,-73.72237,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899799534.86603,50.0004005432129,87333.21875,90,3.706,271.9984,0,-0.05160203,,,0.4359754,2.293708,0.1,0,0.02719758,0.02719757,-2.449483E-05,,,,,,30,-83.57491,-75.9213,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899799540.37865,50.000316619873,87056.4921875,90,3.711,271.9376,0,-0.04910711,,,0.4359754,2.293708,0.1,0,0.02719151,0.0271915,-2.330531E-05,,,,,,30,-69.58047,-80.34153,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899799544.19754,50.0000534057617,86873.9921875,90,3.714,272.0682,0,-0.05405847,,,0.4359754,2.293708,0.1,0,0.02720457,0.02720456,-2.566746E-05,,,,,,30,-73.24326,-71.94432,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899799549.33973,50.000316619873,86621.9375,90,3.718,271.8933,0,-0.04074652,,,0.4359754,2.293708,0.1,0,0.02718707,0.02718707,-1.933438E-05,,,,,,30,-71.24066,-65.96408,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899799554.54706,50.000316619873,86360.0078125,90,3.722,271.9054,0,-0.04521493,,,0.4359754,2.293708,0.1,0,0.02718828,0.02718827,-2.145561E-05,,,,,,30,-71.74789,-73.40166,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899799559.67585,50.0005836486816,86108.1640625,90,3.726,272.0928,0,-0.04670764,,,0.4359754,2.293708,0.1,0,0.02720702,0.02720702,-2.217922E-05,,,,,,30,-79.31924,-83.54291,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899799564.8773,50.0007629394531,85851.453125,90,3.731,271.9227,0,-0.04577384,,,0.4359754,2.293708,0.1,0,0.02719002,0.02719001,-2.172222E-05,,,,,,30,-78.42584,-70.86806,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
