[Header]
;Copyright 2015, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,7/29/2023 3:01:51 PM
BYAPP, Electrical Transport Option, Release 1.1.3 Build 5
INFO, APPNAME, ETOption, Release 1.1.3 Build 5
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3899804510.11633,59.9998016357422,89394.328125,90,5.878,256.2783,0,-0.04219984,,,0.4359754,2.293708,0.1,0,0.0256257,0.02562569,-1.8874E-05,,,,,,30,-77.83292,-71.55331,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804526.26822,59.9998817443848,88598.234375,90,5.882,256.0515,0,-0.04143039,,,0.4359754,2.293708,0.1,0,0.02560303,0.02560302,-1.851346E-05,,,,,,30,-73.12796,-71.28403,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804531.787,60.0001411437988,88321.390625,90,5.884,255.8736,0,-0.02793729,,,0.4359754,2.293708,0.1,0,0.02558524,0.02558523,-1.24753E-05,,,,,,30,-69.94656,-72.85571,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804537.10409,60.0005187988281,88059.640625,90,5.884,256.0969,0,-0.03485902,,,0.4359754,2.293708,0.1,0,0.02560756,0.02560756,-1.557976E-05,,,,,,30,-73.92695,-78.3145,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804542.42126,60.0001831054688,87797.9296875,90,5.886,255.805,0,-0.04225912,,,0.4359754,2.293708,0.1,0,0.02557838,0.02557837,-1.886561E-05,,,,,,30,-73.73473,-73.83632,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804547.96228,59.9999389648438,87526.2890625,90,5.888,255.625,0,-0.03437607,,,0.4359754,2.293708,0.1,0,0.02556038,0.02556038,-1.533561E-05,,,,,,30,-75.21104,-74.594,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804553.17751,60.0002632141113,87268.9921875,90,5.889,255.5184,0,-0.0407608,,,0.4359754,2.293708,0.1,0,0.02554972,0.02554972,-1.817633E-05,,,,,,30,-75.48721,-81.38159,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804558.36794,60.0005187988281,87012.4140625,90,5.89,255.9461,0,-0.04366723,,,0.4359754,2.293708,0.1,0,0.02559249,0.02559248,-1.950498E-05,,,,,,30,-67.823,-84.31931,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804562.50504,60.0006370544434,86805,90,5.89,255.9703,0,-0.04599725,,,0.4359754,2.293708,0.1,0,0.02559491,0.02559491,-2.054768E-05,,,,,,30,-66.97526,-80.7325,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804567.81793,60.0005378723145,86542.9609375,90,5.892,255.8373,0,-0.04370403,,,0.4359754,2.293708,0.1,0,0.02558161,0.02558161,-1.951312E-05,,,,,,30,-77.93051,-85.98689,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804573.03458,60.0006370544434,86286.1953125,90,5.892,256.0671,0,-0.04003321,,,0.4359754,2.293708,0.1,0,0.02560459,0.02560458,-1.789022E-05,,,,,,30,-70.93594,-73.25703,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804578.46942,60.0007781982422,86014.5625,90,5.893,256.3143,0,-0.0417074,,,0.4359754,2.293708,0.1,0,0.02562931,0.0256293,-1.865638E-05,,,,,,30,-79.14951,-72.05376,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804583.76725,60.0005378723145,85757.6796875,90,5.896,256.6447,0,-0.06095796,,,0.4359754,2.293708,0.1,0,0.02566235,0.02566233,-2.730261E-05,,,,,,30,-83.70808,-87.71893,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804589.19443,60.0008964538574,85485.6875,90,5.897,256.5594,0,-0.06742115,,,0.4359754,2.293708,0.1,0,0.02565383,0.02565381,-3.018739E-05,,,,,,30,-74.44463,-74.08061,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804594.50827,60.0002021789551,85228.9609375,90,5.899,256.6406,0,-0.04749806,,,0.4359754,2.293708,0.1,0,0.02566194,0.02566193,-2.127368E-05,,,,,,30,-77.34577,-77.76956,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804598.29852,60.0006370544434,85036.2734375,90,5.899,256.6654,0,-0.0566078,,,0.4359754,2.293708,0.1,0,0.02566442,0.02566441,-2.535625E-05,,,,,,30,-79.90948,-79.56461,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804603.42139,60.0002632141113,84784.34375,90,5.9,256.5178,0,-0.05937887,,,0.4359754,2.293708,0.1,0,0.02564966,0.02564965,-2.65822E-05,,,,,,30,-69.76992,-73.56345,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804609.07834,60.0008583068848,84507.8203125,90,5.902,256.4091,0,-0.05839422,,,0.4359754,2.293708,0.1,0,0.02563879,0.02563878,-2.613032E-05,,,,,,30,-69.63422,-71.41267,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804614.07622,60.0004005432129,84255.6640625,90,5.905,256.2546,0,-0.04686046,,,0.4359754,2.293708,0.1,0,0.02562334,0.02562333,-2.095654E-05,,,,,,30,-73.87138,-71.32481,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804619.42071,60.0005187988281,83994.1328125,90,5.904,256.1797,0,-0.06772081,,,0.4359754,2.293708,0.1,0,0.02561585,0.02561584,-3.027668E-05,,,,,,30,-89.89476,-71.35457,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804624.74185,60.0000839233398,83732.125,90,5.904,256.4495,0,-0.04857067,,,0.4359754,2.293708,0.1,0,0.02564282,0.02564281,-2.173789E-05,,,,,,30,-74.12799,-72.33779,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804630.05354,60.0004005432129,83470.3671875,90,5.907,256.2807,0,-0.05247539,,,0.4359754,2.293708,0.1,0,0.02562595,0.02562594,-2.347E-05,,,,,,30,-73.8549,-78.63278,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804639.15353,60.0002021789551,83021.015625,90,5.908,256.4499,0,-0.06234562,,,0.4359754,2.293708,0.1,0,0.02564287,0.02564286,-2.790293E-05,,,,,,30,-73.67725,-74.69886,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804644.57936,60.0007400512695,82749.2890625,90,5.91,256.4589,0,-0.07098164,,,0.4359754,2.293708,0.1,0,0.02564378,0.02564376,-3.176913E-05,,,,,,30,-67.75935,-69.22019,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804649.67476,60.0005798339844,82502.2109375,90,5.911,256.0964,0,-0.06015921,,,0.4359754,2.293708,0.1,0,0.02560753,0.02560751,-2.688729E-05,,,,,,30,-70.24116,-71.93761,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804655.29344,60.0007400512695,82220.8359375,90,5.912,255.8739,0,-0.0633256,,,0.4359754,2.293708,0.1,0,0.02558527,0.02558526,-2.827787E-05,,,,,,30,-88.79576,-76.23895,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804660.28382,60.0005378723145,81973.5546875,90,5.913,256.3595,0,-0.05206423,,,0.4359754,2.293708,0.1,0,0.02563383,0.02563382,-2.329326E-05,,,,,,30,-81.55968,-81.37832,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804665.58806,60.0002021789551,81716.8046875,90,5.913,255.9141,0,-0.05729143,,,0.4359754,2.293708,0.1,0,0.0255893,0.02558929,-2.558735E-05,,,,,,30,-72.7965,-93.76232,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804670.88271,60.0006980895996,81450.125,90,5.915,256.1819,0,-0.05031167,,,0.4359754,2.293708,0.1,0,0.02561606,0.02561605,-2.249357E-05,,,,,,30,-65.44558,-76.18651,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804674.82115,60.0005378723145,81257.5,90,5.914,256.3421,0,-0.04575553,,,0.4359754,2.293708,0.1,0,0.02563208,0.02563207,-2.046938E-05,,,,,,30,-79.47929,-72.66493,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804679.9221,60.0006980895996,81005.4609375,90,5.914,256.2271,0,-0.06243907,,,0.4359754,2.293708,0.1,0,0.02562059,0.02562058,-2.792048E-05,,,,,,30,-79.19196,-84.14558,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804685.0493,60.0008583068848,80748.5078125,90,5.916,256.0059,0,-0.05735121,,,0.4359754,2.293708,0.1,0,0.02559847,0.02559846,-2.562323E-05,,,,,,30,-69.12761,-80.43479,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804690.45448,60.0006370544434,80486.8828125,90,5.917,256.4434,0,-0.05418889,,,0.4359754,2.293708,0.1,0,0.02564222,0.02564221,-2.425175E-05,,,,,,30,-86.10526,-81.39095,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804695.74769,60.0003204345703,80224.9375,90,5.919,256.6159,0,-0.04377427,,,0.4359754,2.293708,0.1,0,0.02565946,0.02565945,-1.960396E-05,,,,,,30,-70.1295,-71.05067,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804700.95058,60.0007400512695,79963.1875,90,5.919,256.3337,0,-0.0626113,,,0.4359754,2.293708,0.1,0,0.02563125,0.02563124,-2.800914E-05,,,,,,30,-80.24178,-82.88128,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804706.30053,60.0005798339844,79701.4609375,90,5.918,256.4653,0,-0.06408837,,,0.4359754,2.293708,0.1,0,0.02564441,0.0256444,-2.868463E-05,,,,,,30,-76.75329,-76.88936,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804709.98804,60.0007400512695,79518.7109375,90,5.92,256.3138,0,-0.04748252,,,0.4359754,2.293708,0.1,0,0.02562926,0.02562925,-2.123964E-05,,,,,,30,-83.97206,-72.74799,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804715.40796,60.0002021789551,79251.875,90,5.919,256.6226,0,-0.05805837,,,0.4359754,2.293708,0.1,0,0.02566014,0.02566013,-2.600166E-05,,,,,,30,-74.38169,-81.298,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804720.39684,60,79005.078125,90,5.92,256.9832,0,-0.05911313,,,0.4359754,2.293708,0.1,0,0.0256962,0.02569618,-2.651124E-05,,,,,,30,-77.20733,-83.80463,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804725.69283,60.0002632141113,78743.0390625,90,5.921,256.5962,0,-0.05000408,,,0.4359754,2.293708,0.1,0,0.02565749,0.02565748,-2.239221E-05,,,,,,30,-68.61514,-78.88132,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804730.88971,60.0004005432129,78485.953125,90,5.922,256.3951,0,-0.04636704,,,0.4359754,2.293708,0.1,0,0.02563738,0.02563738,-2.074724E-05,,,,,,30,-75.73704,-72.07681,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804736.29829,60.0004005432129,78224.34375,90,5.922,256.7585,0,-0.05777892,,,0.4359754,2.293708,0.1,0,0.02567373,0.02567372,-2.589021E-05,,,,,,30,-83.16651,-72.13098,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804741.50704,60.0004386901855,77962,90,5.924,256.6295,0,-0.05636957,,,0.4359754,2.293708,0.1,0,0.02566083,0.02566081,-2.5246E-05,,,,,,30,-73.94389,-76.34362,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804746.96505,60.0005378723145,77695.2265625,90,5.922,256.6877,0,-0.05443536,,,0.4359754,2.293708,0.1,0,0.02566665,0.02566664,-2.438527E-05,,,,,,30,-68.56413,-71.21215,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804750.66808,60.0002822875977,77512.375,90,5.924,256.9575,0,-0.05616583,,,0.4359754,2.293708,0.1,0,0.02569363,0.02569361,-2.518691E-05,,,,,,30,-86.44595,-81.89598,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804755.975,60.0004386901855,77245.6171875,90,5.924,256.3029,0,-0.04732057,,,0.4359754,2.293708,0.1,0,0.02562817,0.02562816,-2.11663E-05,,,,,,30,-74.02472,-69.4846,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804761.48803,60.0002632141113,76974.1328125,90,5.924,256.4868,0,-0.04453617,,,0.4359754,2.293708,0.1,0,0.02564655,0.02564655,-1.993514E-05,,,,,,30,-71.75894,-78.1873,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804766.35046,60.0004005432129,76731.7265625,90,5.924,256.3813,0,-0.05583046,,,0.4359754,2.293708,0.1,0,0.02563601,0.025636,-2.498037E-05,,,,,,30,-73.31573,-75.36613,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804771.78928,60.0005378723145,76465.109375,90,5.925,256.8756,0,-0.05726888,,,0.4359754,2.293708,0.1,0,0.02568543,0.02568542,-2.567337E-05,,,,,,30,-75.02626,-81.81912,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804776.99494,60.0005187988281,76208.375,90,5.925,256.9039,0,-0.06753973,,,0.4359754,2.293708,0.1,0,0.02568827,0.02568826,-3.028109E-05,,,,,,30,-76.42216,-78.71555,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804782.14179,60.0006370544434,75951.5546875,90,5.925,256.8896,0,-0.05647449,,,0.4359754,2.293708,0.1,0,0.02568683,0.02568682,-2.531863E-05,,,,,,30,-81.7067,-71.59782,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804786.24056,60.0006980895996,75753.6640625,90,5.927,256.8967,0,-0.0493935,,,0.4359754,2.293708,0.1,0,0.02568755,0.02568754,-2.21447E-05,,,,,,30,-73.71065,-71.2629,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899804791.33495,60.0007781982422,75501.75,90,5.927,256.5741,0,-0.06514342,,,0.4359754,2.293708,0.1,0,0.02565529,0.02565527,-2.916921E-05,,,,,,30,-75.51846,-71.77588,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
