Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3899858225.35488,1.80002892017365,89389.0859375,0,0.497,420.0118,0,0.4561022,,,0.4359754,2.293708,0.1,0,0.041999,0.04199767,0.0003343288,,,,,,30,-40.86309,-24.5834,,,,,,,,,,,,,,,,,,,,,48012160,0,5,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899858241.70218,1.79990720748901,88578.3125,0,0.496,418.3834,0,0.5299709,,,0.4359754,2.293708,0.1,0,0.04183663,0.04183484,0.0003869723,,,,,,30,-42.18453,-24.56295,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899858246.9278,1.79975616931915,88321.5390625,0,0.495,417.9418,0,0.580339,,,0.4359754,2.293708,0.1,0,0.04179283,0.04179069,0.0004233051,,,,,,30,-42.5188,-24.5636,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899858252.13576,1.79979991912842,88064.4140625,0,0.494,417.6912,0,0.6161417,,,0.4359754,2.293708,0.1,0,0.04176804,0.04176563,0.0004491524,,,,,,30,-41.93641,-24.59928,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899858257.69501,1.80002653598785,87787.875,0,0.494,417.0945,0,0.651988,,,0.4359754,2.293708,0.1,0,0.04170867,0.04170597,0.0004746067,,,,,,30,-41.54478,-24.58014,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899858263.11302,1.80004644393921,87521.390625,0,0.493,416.3818,0,0.6442332,,,0.4359754,2.293708,0.1,0,0.04163733,0.0416347,0.0004681599,,,,,,30,-41.98623,-24.75189,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899858268.10031,1.80005586147308,87269.1171875,0,0.493,416.173,0,0.6772195,,,0.4359754,2.293708,0.1,0,0.04161673,0.04161382,0.0004918862,,,,,,30,-41.90592,-24.68133,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899858273.29018,1.80007016658783,87017.4140625,0,0.492,415.5642,0,0.6443993,,,0.4359754,2.293708,0.1,0,0.04155558,0.04155295,0.0004673612,,,,,,30,-41.8442,-24.76254,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899858277.51446,1.79984223842621,86809.921875,0,0.492,415.2308,0,0.6699485,,,0.4359754,2.293708,0.1,0,0.04152245,0.04151961,0.0004855029,,,,,,30,-41.4679,-24.83964,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899858282.41336,1.79996037483215,86567.953125,0,0.491,414.8784,0,0.6940298,,,0.4359754,2.293708,0.1,0,0.04148742,0.04148437,0.0005025291,,,,,,30,-41.64423,-24.88285,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899858287.65321,1.79999697208405,86306.078125,0,0.491,414.2285,0,0.678853,,,0.4359754,2.293708,0.1,0,0.04142229,0.04141938,0.0004907689,,,,,,30,-41.53979,-24.86081,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899858292.96655,1.80000638961792,86044.5546875,0,0.491,413.9093,0,0.6697164,,,0.4359754,2.293708,0.1,0,0.0413903,0.04138747,0.00048379,,,,,,30,-41.85911,-24.82382,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
