Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3899960704.39127,150.007293701172,88830.40625,0,10.84,169.2947,0,1.505521,,,0.4359754,2.293708,0.1,0,0.01693391,0.01692807,0.0004449092,,,,,,100,-46.67133,-56.84772,,,,,,,,,,,,,,,,,,,,,48536448,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899960709.7738,150.005462646484,88667.65625,0,10.847,169.8602,0,1.47767,,,0.4359754,2.293708,0.1,0,0.01699026,0.01698461,0.0004381337,,,,,,100,-55.13746,-50.56479,,,,,,,,,,,,,,,,,,,,,48536448,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899960714.79699,150.009170532227,88517.859375,0,10.848,169.5674,0,1.525962,,,0.4359754,2.293708,0.1,0,0.01696134,0.01695533,0.000451679,,,,,,100,-58.46905,-50.87696,,,,,,,,,,,,,,,,,,,,,48536448,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899960719.87502,150.007781982422,88364.84375,0,10.849,171.6249,0,1.470363,,,0.4359754,2.293708,0.1,0,0.01716672,0.01716107,0.0004404958,,,,,,100,-52.03613,-71.79908,,,,,,,,,,,,,,,,,,,,,48536448,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899960725.32083,150.007293701172,88202.703125,0,10.851,170.1718,0,1.456805,,,0.4359754,2.293708,0.1,0,0.01702127,0.01701577,0.0004327369,,,,,,100,-57.44739,-56.52217,,,,,,,,,,,,,,,,,,,,,48536448,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899960730.72553,150.006607055664,88037.609375,0,10.854,170.3304,0,1.51006,,,0.4359754,2.293708,0.1,0,0.01703755,0.01703163,0.0004489815,,,,,,100,-55.41591,-63.28748,,,,,,,,,,,,,,,,,,,,,48536448,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899960735.8116,150.007888793945,87888,0,10.856,169.6177,0,1.515065,,,0.4359754,2.293708,0.1,0,0.01696629,0.01696036,0.0004485852,,,,,,100,-51.45322,-53.77209,,,,,,,,,,,,,,,,,,,,,48536448,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899960739.60047,150.006393432617,87773.8046875,0,10.865,170.2511,0,1.579088,,,0.4359754,2.293708,0.1,0,0.01703016,0.0170237,0.0004692967,,,,,,100,-54.22349,-49.36714,,,,,,,,,,,,,,,,,,,,,48536448,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899960744.91751,150.007293701172,87615.015625,0,10.869,170.3157,0,1.430724,,,0.4359754,2.293708,0.1,0,0.01703546,0.01703015,0.0004253458,,,,,,100,-49.54379,-58.3098,,,,,,,,,,,,,,,,,,,,,48536448,0,1,6,1,,,,,,,,,,,,,,,,
