[Header]
;Copyright 2015, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,7/30/2023 3:44:39 PM
BYAPP, Electrical Transport Option, Release 1.1.3 Build 5
INFO, APPNAME, ETOption, Release 1.1.3 Build 5
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3899893478.01705,20.0001277923584,89106.2109375,0,1.343,264.7651,0,1.816563,,,0.4359754,2.293708,0.1,0,0.02648762,0.02647431,0.0008396495,,,,,,30,-49.97326,-38.47457,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893483.21214,20.0000152587891,88950.171875,0,1.343,265.824,0,1.965563,,,0.4359754,2.293708,0.1,0,0.02659583,0.02658018,0.0009122057,,,,,,30,-57.35339,-37.1424,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893488.42832,20.000207901001,88794.078125,0,1.343,264.4549,0,1.679422,,,0.4359754,2.293708,0.1,0,0.02645465,0.02644329,0.0007753132,,,,,,30,-60.97498,-37.81647,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893493.69903,20.0000762939453,88634.6796875,0,1.343,264.327,0,1.677112,,,0.4359754,2.293708,0.1,0,0.02644183,0.0264305,0.0007738716,,,,,,30,-62.6777,-37.89257,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893499.05121,20.0002269744873,88472.8203125,0,1.343,264.1685,0,1.687648,,,0.4359754,2.293708,0.1,0,0.02642611,0.02641465,0.000778269,,,,,,30,-61.21884,-37.89239,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893504.14393,19.9997978210449,88319.640625,0,1.343,263.8071,0,1.703836,,,0.4359754,2.293708,0.1,0,0.02639018,0.02637851,0.0007846635,,,,,,30,-62.11593,-37.88969,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893509.60603,20.0000152587891,88157.5546875,0,1.344,263.6699,0,1.703706,,,0.4359754,2.293708,0.1,0,0.02637646,0.0263648,0.0007841957,,,,,,30,-63.00523,-37.94849,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893519.02052,20.0002613067627,87872.8359375,0,1.344,263.2637,0,1.689514,,,0.4359754,2.293708,0.1,0,0.02633563,0.02632418,0.0007764614,,,,,,30,-62.06462,-38.08036,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893524.3605,20.0002403259277,87716.7890625,0,1.344,262.954,0,1.70629,,,0.4359754,2.293708,0.1,0,0.02630488,0.02629321,0.0007832535,,,,,,30,-63.46072,-38.0416,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893529.6625,19.9997978210449,87557.984375,0,1.344,262.8812,0,1.721462,,,0.4359754,2.293708,0.1,0,0.0262978,0.02628594,0.0007900035,,,,,,30,-61.81537,-37.99866,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893534.74885,20.0000286102295,87401.828125,0,1.344,262.5119,0,1.732585,,,0.4359754,2.293708,0.1,0,0.02626101,0.026249,0.0007939941,,,,,,30,-60.86813,-37.97175,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893540.26206,20.0001029968262,87233.8359375,0,1.344,262.4633,0,1.702142,,,0.4359754,2.293708,0.1,0,0.02625573,0.02624414,0.00077989,,,,,,30,-59.3969,-38.07634,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893545.23859,20.0001888275146,87086.953125,0,1.345,262.3506,0,1.716403,,,0.4359754,2.293708,0.1,0,0.02624466,0.02623288,0.0007860903,,,,,,30,-62.33926,-38.14955,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893550.54327,20.0000877380371,86931.15625,0,1.345,262.1821,0,1.705541,,,0.4359754,2.293708,0.1,0,0.02622765,0.02621603,0.0007806113,,,,,,30,-62.24254,-38.11516,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893554.78494,19.9999694824219,86802.1328125,0,1.345,262.3803,0,1.778018,,,0.4359754,2.293708,0.1,0,0.02624848,0.02623584,0.0008144195,,,,,,30,-74.82103,-38.1791,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893559.78719,20.0001029968262,86652.2578125,0,1.345,261.8375,0,1.720689,,,0.4359754,2.293708,0.1,0,0.02619338,0.02618157,0.0007865133,,,,,,30,-62.77058,-38.08745,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893564.99602,20.0000286102295,86495.9921875,0,1.345,261.5093,0,1.741689,,,0.4359754,2.293708,0.1,0,0.02616084,0.02614875,0.0007951203,,,,,,30,-62.36684,-38.32471,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893570.11106,20.0001945495605,86342.9765625,0,1.345,261.4348,0,1.74854,,,0.4359754,2.293708,0.1,0,0.02615348,0.0261413,0.0007980222,,,,,,30,-62.10892,-38.21663,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893575.21601,20.0001888275146,86190.21875,0,1.345,261.2256,0,1.743017,,,0.4359754,2.293708,0.1,0,0.02613247,0.02612038,0.0007948634,,,,,,30,-58.68107,-38.25551,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893580.73798,20.0002403259277,86022.2890625,0,1.346,261.0953,0,1.752953,,,0.4359754,2.293708,0.1,0,0.02611958,0.02610736,0.0007989986,,,,,,30,-61.25494,-38.21234,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893586.20629,20.0002269744873,85860.3671875,0,1.346,260.9178,0,1.755774,,,0.4359754,2.293708,0.1,0,0.02610186,0.02608961,0.0007997414,,,,,,30,-59.47174,-38.22295,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893590.01504,20.0000877380371,85746.3046875,0,1.346,260.8743,0,1.774684,,,0.4359754,2.293708,0.1,0,0.02609778,0.02608526,0.0008082255,,,,,,30,-61.13071,-38.35561,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893595.31828,19.9999504089355,85587.1640625,0,1.346,260.7083,0,1.766263,,,0.4359754,2.293708,0.1,0,0.02608106,0.02606866,0.000803876,,,,,,30,-60.45927,-38.28065,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893600.73504,20.0001029968262,85422.109375,0,1.346,260.5341,0,1.777466,,,0.4359754,2.293708,0.1,0,0.02606378,0.02605124,0.0008084376,,,,,,30,-60.47538,-38.38811,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893605.82921,20.0000286102295,85272.140625,0,1.346,260.139,0,1.791755,,,0.4359754,2.293708,0.1,0,0.02602446,0.02601174,0.0008137049,,,,,,30,-58.974,-38.24092,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893610.91103,20.0001411437988,85119.34375,0,1.346,260.2779,0,1.802427,,,0.4359754,2.293708,0.1,0,0.02603851,0.02602562,0.0008189916,,,,,,30,-59.99511,-38.26412,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899893616.35026,19.9999160766602,84954.4375,0,1.346,259.9076,0,1.799838,,,0.4359754,2.293708,0.1,0,0.02600143,0.0259886,0.0008166511,,,,,,30,-62.30027,-38.21063,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
