[Header]
;Copyright 2015, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,7/30/2023 9:24:25 AM
BYAPP, Electrical Transport Option, Release 1.1.3 Build 5
INFO, APPNAME, ETOption, Release 1.1.3 Build 5
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3899870663.93498,6.00093460083008,89612.9609375,0,0.551,381.2272,0,0.6253957,,,0.4359754,2.293708,0.1,0,0.03812181,0.03811954,0.0004160995,,,,,,30,-56.01196,-26.1395,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899870664.66282,6.00056982040405,89589.0234375,0,0.551,381.1508,0,0.7475152,,,0.4359754,2.293708,0.1,0,0.03811515,0.0381119,0.000497259,,,,,,30,-63.9914,-26.07217,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899870673.71731,6.00029897689819,89319.3203125,0,0.552,380.7654,0,0.7747418,,,0.4359754,2.293708,0.1,0,0.03807684,0.03807336,0.0005148516,,,,,,30,-63.42118,-26.14152,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899870679.04948,6.00012540817261,89160.0625,0,0.551,380.5439,0,0.7342183,,,0.4359754,2.293708,0.1,0,0.03805434,0.03805122,0.0004876351,,,,,,30,-65.00806,-26.20639,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899870684.27444,6.00033760070801,89004.2421875,0,0.552,380.1987,0,0.7655148,,,0.4359754,2.293708,0.1,0,0.03802009,0.0380167,0.000507962,,,,,,30,-66.28546,-26.18654,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899870689.47829,6.00024223327637,88848.265625,0,0.552,379.9251,0,0.7606755,,,0.4359754,2.293708,0.1,0,0.03799269,0.03798934,0.0005043873,,,,,,30,-64.76681,-26.20123,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899870695.00644,6.00008010864258,88679.46875,0,0.552,379.747,0,0.7802211,,,0.4359754,2.293708,0.1,0,0.03797505,0.03797153,0.0005171066,,,,,,30,-65.4789,-26.19815,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899870700.21656,6.0001392364502,88523.8046875,0,0.552,379.3889,0,0.8012444,,,0.4359754,2.293708,0.1,0,0.03793944,0.03793573,0.0005305412,,,,,,30,-65.23083,-26.37785,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899870705.53504,5.99994897842407,88364.6796875,0,0.552,379.1467,0,0.8154431,,,0.4359754,2.293708,0.1,0,0.03791535,0.0379115,0.0005395993,,,,,,30,-62.08122,-26.30819,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899870714.59042,6.00023651123047,88091.640625,0,0.552,378.6483,0,0.8238592,,,0.4359754,2.293708,0.1,0,0.03786559,0.03786168,0.0005444527,,,,,,30,-61.79438,-26.41012,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899870720.10501,6.00000333786011,87926.609375,0,0.552,378.3681,0,0.7180051,,,0.4359754,2.293708,0.1,0,0.03783662,0.03783365,0.0004741392,,,,,,30,-67.84677,-26.53599,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899870725.20461,6.00026750564575,87773.8203125,0,0.552,378.165,0,0.800106,,,0.4359754,2.293708,0.1,0,0.03781703,0.03781335,0.0005280782,,,,,,30,-67.12752,-26.40284,,,,,,,,,,,,,,,,,,,,,48012160,0,1,6,1,,,,,,,,,,,,,,,,
