Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16
,3906091012.40266,59.9998054504395,89874.1875,8.61285564351223E+26,2.818,1455.381,0.4623542,-0.02971032,,,3.051758,2.29376,0.1,0,0.1455256,0.1455256,-7.546128E-05,,,,,,10,-68.72733,-75.27446,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906091014.67269,59.9996871948242,89421.7109375,8.61285564351223E+26,2.818,1451.138,1.830727,-0.02750215,,,3.051758,2.29376,0.1,0,0.1451013,0.1451013,-6.964907E-05,,,,,,10,-67.28391,-74.94292,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906091017.07267,59.9997024536133,88942.671875,8.61285564351223E+26,2.819,1444.978,1.849653,-0.0273225,,,3.051758,2.29376,0.1,0,0.1444853,0.1444853,-6.890037E-05,,,,,,10,-67.33277,-75.06629,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906091019.31296,59.9986190795898,88502.6328125,8.61285564351223E+26,2.819,1438.692,1.741078,-0.0269518,,,3.051758,2.29376,0.1,0,0.1438569,0.1438568,-6.766993E-05,,,,,,10,-67.405,-75.47438,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906091021.71296,59.9996223449707,88022.8515625,8.61285564351223E+26,2.819,1432.432,1.798245,-0.02687575,,,3.051758,2.29376,0.1,0,0.1432309,0.1432308,-6.718534E-05,,,,,,10,-67.51801,-75.48596,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906091023.98299,59.9994125366211,87563.359375,8.61285564351223E+26,2.82,1426.143,1.784106,-0.02679296,,,3.051758,2.29376,0.1,0,0.142602,0.142602,-6.668433E-05,,,,,,10,-67.51155,-75.41878,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906091026.26298,59.9991989135742,87103.765625,8.61285564351223E+26,2.82,1419.829,1.710214,-0.02668911,,,3.051758,2.29376,0.1,0,0.1419706,0.1419706,-6.613175E-05,,,,,,10,-67.45622,-75.71686,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906091028.44298,59.9989471435547,86664.40625,8.61285564351223E+26,2.82,1413.559,1.844921,-0.02663027,,,3.051758,2.29376,0.1,0,0.1413437,0.1413437,-6.569456E-05,,,,,,10,-67.50423,-75.76379,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906091030.81335,59.9992141723633,86204.6328125,8.61285564351223E+26,2.821,1407.23,1.821925,-0.02642235,,,3.051758,2.29376,0.1,0,0.1407109,0.1407109,-6.488984E-05,,,,,,10,-67.42593,-75.82245,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
,3906091033.1033,59.9996337890625,85745.34375,8.61285564351223E+26,2.821,1400.855,1.812046,-0.02631783,,,3.051758,2.29376,0.1,0,0.1400735,0.1400735,-6.434035E-05,,,,,,10,-67.50115,-76.15952,,,,,,,,,,,,,,,,,,,,,458529664,0,1,6,1,,,,,,,,,,,,,,,,
