[Header]
;Copyright 2015, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,10/11/2023 12:13:30 AM
BYAPP, Electrical Transport Option, Release 1.1.3 Build 5
INFO, APPNAME, ETOption, Release 1.1.3 Build 5
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3906144792.88562,119.999877929688,88962.75,0,5.929,-703.3267,0,179.917,,,0.4359754,2.293708,0.1,0,0.07032707,-0.07032699,0.0001019244,,,,,,10,-50.28532,-66.45512,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906144795.15565,119.999603271484,88522.90625,0,5.932,-701.1957,0,179.9194,,,0.4359754,2.293708,0.1,0,0.07011398,-0.07011391,9.862802E-05,,,,,,10,-50.21436,-68.32018,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906144804.48547,119.999862670898,86644.7265625,0,5.931,-695.1537,0,179.9202,,,0.4359754,2.293708,0.1,0,0.06950983,-0.06950976,9.679706E-05,,,,,,30,-40.98906,-57.28156,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906144804.78274,119.999145507813,86604.4140625,0,5.93,-693.3304,0,179.914,,,0.4359754,2.293708,0.1,0,0.06932751,-0.06932744,0.0001040576,,,,,,30,-41.07359,-56.48026,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906144806.91657,120.000030517578,86164.859375,0,5.931,-691.3207,0,179.9219,,,0.4359754,2.293708,0.1,0,0.06912655,-0.06912648,9.427508E-05,,,,,,30,-41.10405,-59.47641,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906144809.18654,119.999931335449,85705.359375,0,5.929,-689.1211,0,179.9162,,,0.4359754,2.293708,0.1,0,0.06890661,-0.06890654,0.0001007833,,,,,,30,-41.4133,-57.28829,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906144811.46651,120.000061035156,85245.71875,0,5.93,-686.9549,0,179.9212,,,0.4359754,2.293708,0.1,0,0.06869,-0.06868993,9.448463E-05,,,,,,30,-41.29311,-57.80178,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906144813.85684,119.999015808105,84766.4140625,0,5.932,-685.0142,0,179.9173,,,0.4359754,2.293708,0.1,0,0.06849595,-0.06849588,9.886931E-05,,,,,,30,-41.10407,-57.2834,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906144816.13682,119.998863220215,84306.25,0,5.931,-683.1965,0,179.9224,,,0.4359754,2.293708,0.1,0,0.06831419,-0.06831413,9.253043E-05,,,,,,30,-41.06131,-58.8773,,,,,,,,,,,,,,,,,,,,,56400768,0,1,6,1,,,,,,,,,,,,,,,,
