[Header]
;Copyright 2015, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,10/10/2023 9:47:45 PM
BYAPP, Electrical Transport Option, Release 1.1.3 Build 5
INFO, APPNAME, ETOption, Release 1.1.3 Build 5
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3906136047.77256,180.001907348633,89200.8125,0,6.507,-758.5843,0,179.9253,,,0.4359754,2.293708,0.1,0,0.07585238,-0.07585231,9.888245E-05,,,,,,10,-56.70663,-70.20262,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906136050.15209,180.001724243164,88741.03125,0,6.508,-755.9862,0,179.9265,,,0.4359754,2.293708,0.1,0,0.07559258,-0.07559253,9.697352E-05,,,,,,10,-56.95113,-72.62477,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906136052.41041,180.00325012207,88281.34375,0,6.506,-754.6465,0,179.9179,,,0.4359754,2.293708,0.1,0,0.07545864,-0.07545856,0.0001081759,,,,,,10,-55.79643,-69.14354,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906136054.77583,180.002197265625,87801.875,0,6.507,-752.8895,0,179.9177,,,0.4359754,2.293708,0.1,0,0.07528295,-0.07528287,0.0001081646,,,,,,10,-56.55143,-67.62394,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906136057.05753,180.000442504883,87362.1875,0,6.505,-751.1868,0,179.9301,,,0.4359754,2.293708,0.1,0,0.07511268,-0.07511263,9.159699E-05,,,,,,10,-55.75495,-71.53632,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906136059.36809,180.001556396484,86882.7734375,0,6.505,-748.173,0,179.9292,,,0.4359754,2.293708,0.1,0,0.07481132,-0.07481126,9.244483E-05,,,,,,10,-55.79506,-74.15404,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906136061.55742,180.002746582031,86443.1484375,0,6.505,-745.8426,0,179.9333,,,0.4359754,2.293708,0.1,0,0.07457829,-0.07457824,8.681417E-05,,,,,,10,-56.72191,-72.66113,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906136063.94038,180.002426147461,85983.65625,0,6.507,-742.7786,0,179.9206,,,0.4359754,2.293708,0.1,0,0.07427195,-0.07427187,0.0001028946,,,,,,10,-56.84624,-70.11573,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906136066.19591,180.002563476563,85523.8984375,0,6.506,-740.6694,0,179.9295,,,0.4359754,2.293708,0.1,0,0.07406103,-0.07406097,9.112322E-05,,,,,,10,-56.3381,-70.97488,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906136068.54195,180.000930786133,85064.390625,0,6.505,-738.5393,0,179.9237,,,0.4359754,2.293708,0.1,0,0.07384804,-0.07384797,9.831491E-05,,,,,,10,-56.61514,-69.35973,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906136070.91181,180.000534057617,84584.9453125,0,6.505,-736.4859,0,179.938,,,0.4359754,2.293708,0.1,0,0.07364269,-0.07364265,7.974333E-05,,,,,,10,-56.78822,-70.09273,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906136073.07691,180.00244140625,84145.21875,0,6.505,-734.0573,0,179.927,,,0.4359754,2.293708,0.1,0,0.07339986,-0.0733998,9.347644E-05,,,,,,10,-56.99734,-70.92159,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906136075.34303,180.001556396484,83705.7890625,0,6.505,-732.4181,0,179.9323,,,0.4359754,2.293708,0.1,0,0.07323595,-0.0732359,8.651934E-05,,,,,,10,-58.41195,-70.99231,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906136077.62708,180.002059936523,83246.2734375,0,6.503,-729.2711,0,179.9285,,,0.4359754,2.293708,0.1,0,0.07292128,-0.07292122,9.096378E-05,,,,,,10,-56.73778,-69.37262,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906136079.987,180.002288818359,82786.8125,0,6.504,-727.2249,0,179.9333,,,0.4359754,2.293708,0.1,0,0.07271668,-0.07271662,8.458902E-05,,,,,,10,-58.0142,-72.13193,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906136082.24228,180.000244140625,82307.15625,0,6.504,-724.1921,0,179.9345,,,0.4359754,2.293708,0.1,0,0.07241341,-0.07241336,8.278987E-05,,,,,,10,-58.53878,-71.87615,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906136084.62237,180.000015258789,81847.59375,0,6.506,-722.2831,0,179.9295,,,0.4359754,2.293708,0.1,0,0.07222254,-0.07222249,8.891887E-05,,,,,,10,-56.27918,-71.15029,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906136086.83294,180.001907348633,81408.1015625,0,6.504,-719.9687,0,179.9309,,,0.4359754,2.293708,0.1,0,0.07199111,-0.07199106,8.677423E-05,,,,,,10,-58.51934,-70.74797,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906136089.21382,180.001312255859,80928.4921875,0,6.503,-717.8067,0,179.9334,,,0.4359754,2.293708,0.1,0,0.07177493,-0.07177488,8.345528E-05,,,,,,10,-57.2972,-79.75893,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3906136091.48931,180.001205444336,80468.9140625,0,6.504,-714.8331,0,179.9312,,,0.4359754,2.293708,0.1,0,0.07147758,-0.07147753,8.585068E-05,,,,,,10,-58.56241,-75.29717,,,,,,,,,,,,,,,,,,,,,55876480,0,1,6,1,,,,,,,,,,,,,,,,
