Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3897511907.73808,10.0675020217896,-89658.71875,0,0.84,-265.3773,0,-179.6848,,,0.4359754,2.293708,1,0,0.2653814,-0.2653774,-0.001459721,,,,,,10,-18.91513,-21.5979,,,,,,,,,,,,,,,,,,,,,39033728,0,6,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3897511908.78271,10.0576114654541,-89440.6171875,0,0.839,-253.5816,0,-179.9382,,,0.4359754,2.293708,1,0,0.2535819,-0.2535817,-0.0002735083,,,,,,10,-23.38118,-26.5427,,,,,,,,,,,,,,,,,,,,,39033728,0,6,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3897511914.37081,10.0606231689453,-88343.21875,0,0.84,-243.4518,0,179.9228,,,0.4359754,2.293708,1,0,0.2434521,-0.2434519,0.000328131,,,,,,10,-26.91616,-32.69146,,,,,,,,,,,,,,,,,,,,,39033728,0,6,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3897511920.44745,10.0394144058228,-87124.8125,0,0.839,-236.4268,0,179.8204,,,0.4359754,2.293708,1,0,0.236428,-0.2364269,0.000741155,,,,,,10,-27.89433,-39.77778,,,,,,,,,,,,,,,,,,,,,39033728,0,6,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3897511925.94403,10.0672588348389,-86026.25,0,0.839,-233.7141,0,179.7801,,,0.4359754,2.293708,1,0,0.2337159,-0.2337142,0.0008968472,,,,,,10,-27.47143,-39.35464,,,,,,,,,,,,,,,,,,,,,39033728,0,6,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3897511931.40624,10.0371532440186,-84927.875,0,0.839,-229.537,0,179.7687,,,0.4359754,2.293708,1,0,0.2295389,-0.2295371,0.0009265436,,,,,,10,-27.86027,-41.10826,,,,,,,,,,,,,,,,,,,,,39033728,0,6,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3897511937.07755,10.0518465042114,-83789.0390625,0,0.839,-227.3226,0,179.8521,,,0.4359754,2.293708,1,0,0.2273235,-0.2273227,0.0005866915,,,,,,10,-27.70073,-40.79867,,,,,,,,,,,,,,,,,,,,,39033728,0,6,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3897511942.50489,10.0391006469727,-82710.6875,0,0.838,-223.8666,0,179.7592,,,0.4359754,2.293708,1,0,0.2238687,-0.2238667,0.0009409771,,,,,,10,-27.51403,-41.75671,,,,,,,,,,,,,,,,,,,,,39033728,0,6,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3897511948.14769,10.0490560531616,-81591.3515625,0,0.838,-220.9465,0,179.8531,,,0.4359754,2.293708,1,0,0.2209473,-0.2209466,0.0005665874,,,,,,10,-27.91101,-42.68509,,,,,,,,,,,,,,,,,,,,,39033728,0,6,6,1,,,,,,,,,,,,,,,,
