Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3897521493.46732,2.26710963249207,-89638.53125,0,0.195,-271.982,0,-179.667,,,0.4359754,2.293708,1,0,0.2719867,-0.2719821,-0.001580945,,,,,,10,-17.24451,-19.79032,,,,,,,,,,,,,,,,,,,,,39033728,0,6,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3897521497.21996,2.23431134223938,-88882.125,0,0.194,-252.6582,0,179.8803,,,0.4359754,2.293708,1,0,0.2526589,-0.2526583,0.0005279344,,,,,,10,-24.16901,-26.26282,,,,,,,,,,,,,,,,,,,,,39033728,0,6,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3897521502.76252,2.29711055755615,-87783.65625,0,0.193,-242.2484,0,179.7964,,,0.4359754,2.293708,1,0,0.24225,-0.2422485,0.000860952,,,,,,10,-27.77946,-32.4531,,,,,,,,,,,,,,,,,,,,,39033728,0,6,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3897521510.35973,2.43577909469604,-86245.8515625,0,0.19,-235.5083,0,179.739,,,0.4359754,2.293708,1,0,0.2355108,-0.2355084,0.001072827,,,,,,10,-28.06823,-36.78834,,,,,,,,,,,,,,,,,,,,,39033728,0,6,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3897521515.79215,2.31971764564514,-85147.40625,0,0.189,-233.1055,0,179.7479,,,0.4359754,2.293708,1,0,0.2331078,-0.2331056,0.001025689,,,,,,10,-28.01646,-37.42492,,,,,,,,,,,,,,,,,,,,,39033728,0,6,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3897521521.17194,2.00896644592285,-84088.6796875,0,0.187,-228.8733,0,179.8439,,,0.4359754,2.293708,1,0,0.2288742,-0.2288734,0.0006235473,,,,,,10,-27.73889,-37.42624,,,,,,,,,,,,,,,,,,,,,39033728,0,6,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3897521526.65724,2.2069776058197,-82990.1328125,0,0.187,-226.2539,0,179.8146,,,0.4359754,2.293708,1,0,0.2262552,-0.226254,0.0007322223,,,,,,10,-27.53774,-37.58376,,,,,,,,,,,,,,,,,,,,,39033728,0,6,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3897521532.39939,2.44123959541321,-81831.6640625,0,0.187,-224.0888,0,179.8027,,,0.4359754,2.293708,1,0,0.2240902,-0.2240889,0.0007716459,,,,,,10,-27.87221,-38.04345,,,,,,,,,,,,,,,,,,,,,39033728,0,6,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3897521537.571,2.17524361610413,-80812.21875,0,0.186,-219.8761,0,179.9616,,,0.4359754,2.293708,1,0,0.2198762,-0.2198762,0.000147504,,,,,,10,-28.22906,-38.65427,,,,,,,,,,,,,,,,,,,,,39033728,0,6,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3897521543.54896,2.36606287956238,-79633.890625,0,0.185,-217.0285,0,179.8515,,,0.4359754,2.293708,1,0,0.2170294,-0.2170286,0.000562378,,,,,,10,-28.31172,-38.96613,,,,,,,,,,,,,,,,,,,,,39033728,0,6,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3897521549.30876,2.30785346031189,-78475.171875,0,0.185,-212.9382,0,179.777,,,0.4359754,2.293708,1,0,0.2129399,-0.2129383,0.0008288047,,,,,,10,-27.16202,-40.41007,,,,,,,,,,,,,,,,,,,,,39033728,0,6,6,1,,,,,,,,,,,,,,,,
