Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

,3897482449.57472,199.874816894531,-89639.2734375,0,6.204,-53.71368,0,-179.9445,,,0.4359754,2.293708,1,0,0.05371371,-0.05371368,-5.198373E-05,,,,,,10,-53.37478,-74.99429,,,,,,,,,,,,,,,,,,,,,39033728,0,1,6,1,,,,,,,,,,,,,,,,
,3897482450.97581,199.875946044922,-89361.3125,0,6.205,-53.294,0,-179.8705,,,0.4359754,2.293708,1,0,0.05329414,-0.053294,-0.0001204992,,,,,,10,-49.0801,-69.4052,,,,,,,,,,,,,,,,,,,,,39033728,0,1,6,1,,,,,,,,,,,,,,,,
,3897482456.48117,199.879776000977,-88263.6015625,0,6.203,-51.03371,0,-179.9234,,,0.4359754,2.293708,1,0,0.05103375,-0.05103371,-6.826813E-05,,,,,,10,-48.87256,-66.31173,,,,,,,,,,,,,,,,,,,,,39033728,0,1,6,1,,,,,,,,,,,,,,,,
,3897482465.82042,199.885131835938,-86406.2890625,0,6.205,-45.79607,0,-179.8518,,,0.4359754,2.293708,1,0,0.04579622,-0.04579606,-0.0001184622,,,,,,10,-48.89355,-67.17926,,,,,,,,,,,,,,,,,,,,,39033728,0,1,6,1,,,,,,,,,,,,,,,,
,3897482471.49862,199.887771606445,-85247.8671875,0,6.202,-43.3746,0,-179.8613,,,0.4359754,2.293708,1,0,0.04337472,-0.0433746,-0.000105002,,,,,,10,-49.71767,-73.7188,,,,,,,,,,,,,,,,,,,,,39033728,0,1,6,1,,,,,,,,,,,,,,,,
,3897482477.13329,199.88981628418,-84129.46875,0,6.202,-41.04479,0,-179.8575,,,0.4359754,2.293708,1,0,0.04104492,-0.04104479,-0.0001021166,,,,,,10,-49.49643,-65.99852,,,,,,,,,,,,,,,,,,,,,39033728,0,1,6,1,,,,,,,,,,,,,,,,
,3897482482.7585,199.891479492188,-83010.78125,0,6.202,-37.72301,0,-179.9074,,,0.4359754,2.293708,1,0,0.03772306,-0.03772301,-6.098076E-05,,,,,,10,-48.75532,-66.30838,,,,,,,,,,,,,,,,,,,,,39033728,0,1,6,1,,,,,,,,,,,,,,,,
,3897482488.61688,199.893051147461,-81852.2734375,0,6.2,-35.63533,0,-179.8206,,,0.4359754,2.293708,1,0,0.0356355,-0.03563533,-0.0001115774,,,,,,10,-49.12054,-75.29916,,,,,,,,,,,,,,,,,,,,,39033728,0,1,6,1,,,,,,,,,,,,,,,,
,3897482493.85565,199.893920898438,-80792.9140625,0,6.199,-32.43299,0,-179.8147,,,0.4359754,2.293708,1,0,0.03243316,-0.03243298,-0.0001048846,,,,,,10,-48.97485,-64.79486,,,,,,,,,,,,,,,,,,,,,39033728,0,1,6,1,,,,,,,,,,,,,,,,
