[Header]
;Copyright 2015, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,7/31/2023 8:04:19 PM
BYAPP, Electrical Transport Option, Release 1.1.3 Build 5
INFO, APPNAME, ETOption, Release 1.1.3 Build 5
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3899995457.92279,250.008026123047,89684.9609375,0,25.282,775.1383,0,-6.437631,,,0.4359754,2.293708,0.1,0,0.0779991,0.07750728,-0.008745384,,,,,,10,-33.07381,-43.1017,,,,,,,,,,,,,,,,,,,,,47487872,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899995458.64187,250.010757446289,89663.8828125,0,25.281,769.158,0,-7.702713,,,0.4359754,2.293708,0.1,0,0.07760958,0.0769093,-0.01040225,,,,,,10,-29.64546,-47.47994,,,,,,,,,,,,,,,,,,,,,47487872,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899995470.42136,250.01025390625,89310.453125,0,25.279,739.4761,0,-8.160552,,,0.4359754,2.293708,0.1,0,0.07469775,0.07394137,-0.01060315,,,,,,10,-29.30998,-61.33974,,,,,,,,,,,,,,,,,,,,,47487872,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899995475.91376,250.005874633789,89145.203125,0,25.283,733.1185,0,-7.729968,,,0.4359754,2.293708,0.1,0,0.0739779,0.07330566,-0.009950359,,,,,,10,-29.38143,-57.57687,,,,,,,,,,,,,,,,,,,,,47487872,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899995481.31463,250.009765625,88983.3125,0,25.284,736.4623,0,-7.733472,,,0.4359754,2.293708,0.1,0,0.07431594,0.07364001,-0.01000033,,,,,,10,-27.12101,-65.74467,,,,,,,,,,,,,,,,,,,,,47487872,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899995487.1771,250.00993347168,88806.21875,0,25.257,750.7156,0,-7.331673,,,0.4359754,2.293708,0.1,0,0.07568401,0.07506523,-0.009658257,,,,,,10,-27.5655,-55.45034,,,,,,,,,,,,,,,,,,,,,47487872,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899995492.47376,250.009506225586,88649.6796875,0,25.299,755.6399,0,-7.660504,,,0.4359754,2.293708,0.1,0,0.07623801,0.07555761,-0.01016276,,,,,,10,-31.59709,-51.44909,,,,,,,,,,,,,,,,,,,,,47487872,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899995498.03213,250.006210327148,88481.640625,0,25.3,726.0205,0,-7.324321,,,0.4359754,2.293708,0.1,0,0.07319315,0.07259592,-0.009331075,,,,,,10,-31.14511,-53.82022,,,,,,,,,,,,,,,,,,,,,47487872,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899995503.22469,250.008026123047,88325.53125,0,25.308,744.0068,0,-7.390369,,,0.4359754,2.293708,0.1,0,0.07501759,0.0743944,-0.00964943,,,,,,10,-30.92046,-54.60604,,,,,,,,,,,,,,,,,,,,,47487872,0,1,6,1,,,,,,,,,,,,,,,,
