[Header]
;Copyright 2015, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,7/31/2023 4:06:18 AM
BYAPP, Electrical Transport Option, Release 1.1.3 Build 5
INFO, APPNAME, ETOption, Release 1.1.3 Build 5
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

Ch. 1 Input voltage exceeded compliance limit.,3899937977.54426,70.0002593994141,89541.1796875,0,6.588,215.3001,0,1.570807,,,0.4359754,2.293708,0.1,0,0.02153632,0.02152823,0.0005903603,,,,,,100,-42.05452,-45.92755,,,,,,,,,,,,,,,,,,,,,48536448,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899937992.08273,70.0001907348633,89103.2265625,0,6.59,214.6324,0,1.766173,,,0.4359754,2.293708,0.1,0,0.02147165,0.02146146,0.0006617703,,,,,,100,-67.19259,-62.58369,,,,,,,,,,,,,,,,,,,,,48536448,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899937996.96337,70.0003814697266,88959.3828125,0,6.59,214.3852,0,1.760099,,,0.4359754,2.293708,0.1,0,0.02144686,0.02143674,0.0006587337,,,,,,100,-64.33687,-57.24102,,,,,,,,,,,,,,,,,,,,,48536448,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899938002.385,70.0006790161133,88794.078125,0,6.59,214.0625,0,1.747623,,,0.4359754,2.293708,0.1,0,0.02141444,0.02140447,0.0006530771,,,,,,100,-66.81373,-61.46667,,,,,,,,,,,,,,,,,,,,,48536448,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899938006.31961,70.0006790161133,88676.6796875,0,6.591,213.9865,0,1.776242,,,0.4359754,2.293708,0.1,0,0.02140716,0.02139688,0.0006635428,,,,,,100,-59.15816,-59.37397,,,,,,,,,,,,,,,,,,,,,48536448,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899938011.43702,69.9998931884766,88523.8203125,0,6.593,213.5558,0,1.753951,,,0.4359754,2.293708,0.1,0,0.02136381,0.0213538,0.0006538916,,,,,,100,-58.16916,-56.81826,,,,,,,,,,,,,,,,,,,,,48536448,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899938016.54288,70.0007934570313,88370.8046875,0,6.593,213.5011,0,1.763698,,,0.4359754,2.293708,0.1,0,0.02135845,0.02134833,0.0006573591,,,,,,100,-58.69107,-60.47474,,,,,,,,,,,,,,,,,,,,,48536448,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899938021.83143,70.0007247924805,88211.6328125,0,6.593,213.3068,0,1.745312,,,0.4359754,2.293708,0.1,0,0.02133881,0.02132891,0.0006499103,,,,,,100,-55.63841,-54.3881,,,,,,,,,,,,,,,,,,,,,48536448,0,1,6,1,,,,,,,,,,,,,,,,
Ch. 1 Input voltage exceeded compliance limit.,3899938027.36285,70.0004501342773,88043.7578125,0,6.593,213.3515,0,1.778383,,,0.4359754,2.293708,0.1,0,0.02134366,0.02133338,0.0006623717,,,,,,100,-58.45692,-70.48634,,,,,,,,,,,,,,,,,,,,,48536448,0,1,6,1,,,,,,,,,,,,,,,,
