[Header]
;Copyright 2015, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,7/1/2023 10:30:13 PM
BYAPP, Electrical Transport Option, Release 1.1.3 Build 5
INFO, APPNAME, ETOption, Release 1.1.3 Build 5
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16
,3897412203.50382,2.1685893535614,-88682.3671875,0,0.548,-487.0959,0,-174.9824,,,0.4359754,2.293708,1,0,0.4889702,-0.4870964,-0.042766,,,,,,3,-31.52534,-34.24649,,,,,,,,,,,,,,,,,,,,,38509440,0,6,6,1,,,,,,,,,,,,,,,,
,3897412203.84932,2.1685893535614,-88622.625,0,0.547,-484.2279,0,-174.5609,,,0.4359754,2.293708,1,0,0.4864185,-0.4842284,-0.0461065,,,,,,3,-34.00413,-30.82042,,,,,,,,,,,,,,,,,,,,,38509440,0,6,6,1,,,,,,,,,,,,,,,,
,3897412207.48154,2.16604900360107,-87883.671875,0,0.555,-482.3148,0,-174.5595,,,0.4359754,2.293708,1,0,0.4844979,-0.4823153,-0.04593652,,,,,,3,-33.29422,-30.40887,,,,,,,,,,,,,,,,,,,,,38509440,0,6,6,1,,,,,,,,,,,,,,,,
,3897412213.78675,2.21340394020081,-86645.4375,0,0.557,-476.1255,0,-174.4542,,,0.4359754,2.293708,1,0,0.4783651,-0.476126,-0.04623019,,,,,,3,-34.1384,-31.02142,,,,,,,,,,,,,,,,,,,,,38509440,0,6,6,1,,,,,,,,,,,,,,,,
,3897412219.12702,2.2289502620697,-85566.7109375,0,0.565,-472.2273,0,-174.3742,,,0.4359754,2.293708,1,0,0.4745133,-0.4722278,-0.04651685,,,,,,3,-34.34475,-31.5632,,,,,,,,,,,,,,,,,,,,,38509440,0,6,6,1,,,,,,,,,,,,,,,,
,3897412224.42517,2.20199275016785,-84507.8359375,0,0.566,-466.197,0,-174.4546,,,0.4359754,2.293708,1,0,0.4683895,-0.4661975,-0.0452624,,,,,,3,-34.76244,-32.45714,,,,,,,,,,,,,,,,,,,,,38509440,0,6,6,1,,,,,,,,,,,,,,,,
,3897412229.61867,2.26021647453308,-83469.8515625,0,0.561,-461.6608,0,-174.4133,,,0.4359754,2.293708,1,0,0.4638647,-0.4616613,-0.04515847,,,,,,3,-34.80465,-32.57891,,,,,,,,,,,,,,,,,,,,,38509440,0,6,6,1,,,,,,,,,,,,,,,,
,3897412235.06589,2.23820114135742,-82391.09375,0,0.567,-457.1801,0,-174.3562,,,0.4359754,2.293708,1,0,0.4594075,-0.4571805,-0.04518018,,,,,,3,-34.90144,-32.74338,,,,,,,,,,,,,,,,,,,,,38509440,0,6,6,1,,,,,,,,,,,,,,,,
,3897412240.35881,2.23175430297852,-81311.671875,0,0.564,-450.2435,0,-174.2474,,,0.4359754,2.293708,1,0,0.4525228,-0.4502439,-0.04535801,,,,,,3,-34.73891,-32.8835,,,,,,,,,,,,,,,,,,,,,38509440,0,6,6,1,,,,,,,,,,,,,,,,
,3897412245.78362,2.26033520698547,-80252.9375,0,0.561,-445.4997,0,-174.2077,,,0.4359754,2.293708,1,0,0.4477864,-0.4455001,-0.0451921,,,,,,3,-35.01332,-33.04753,,,,,,,,,,,,,,,,,,,,,38509440,0,6,6,1,,,,,,,,,,,,,,,,
,3897412254.7839,2.2450225353241,-78435.4609375,0,0.563,-436.1122,0,-174.0236,,,0.4359754,2.293708,1,0,0.4384958,-0.4361126,-0.04565551,,,,,,3,-34.79847,-33.11248,,,,,,,,,,,,,,,,,,,,,38509440,0,6,6,1,,,,,,,,,,,,,,,,
,3897412260.32496,2.24144458770752,-77336.390625,0,0.565,-431.3129,0,-173.9563,,,0.4359754,2.293708,1,0,0.433724,-0.4313133,-0.04566514,,,,,,3,-34.96242,-33.32635,,,,,,,,,,,,,,,,,,,,,38509440,0,6,6,1,,,,,,,,,,,,,,,,
,3897412265.32055,2.24565553665161,-76337.59375,0,0.559,-426.5808,0,-173.8889,,,0.4359754,2.293708,1,0,0.4290191,-0.4265811,-0.04567207,,,,,,3,-34.95948,-33.25809,,,,,,,,,,,,,,,,,,,,,38509440,0,6,6,1,,,,,,,,,,,,,,,,
,3897412270.64216,2.19707489013672,-75278.84375,0,0.561,-419.5691,0,-173.777,,,0.4359754,2.293708,1,0,0.4220565,-0.4195695,-0.04575053,,,,,,3,-34.9294,-33.36785,,,,,,,,,,,,,,,,,,,,,38509440,0,6,6,1,,,,,,,,,,,,,,,,
,3897412276.18969,2.19226312637329,-74160.4453125,0,0.56,-415.0131,0,-173.6987,,,0.4359754,2.293708,1,0,0.4175359,-0.4150134,-0.0458271,,,,,,3,-34.95582,-33.42507,,,,,,,,,,,,,,,,,,,,,38509440,0,6,6,1,,,,,,,,,,,,,,,,
