[Header]
;Copyright 2015, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,7/2/2023 6:29:01 AM
BYAPP, Electrical Transport Option, Release 1.1.3 Build 5
INFO, APPNAME, ETOption, Release 1.1.3 Build 5
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

,3897440931.51806,300.004272460938,88681.375,0,8.772,443.9783,0,0.01468049,,,0.4359754,2.293708,1,0,0.4439777,0.4439777,0.0001137572,,,,,,3,-64.31071,-74.43452,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897440947.81005,300.002288818359,85424.2890625,0,8.771,428.209,0,0.02419733,,,0.4359754,2.293708,1,0,0.4282085,0.4282085,0.0001808423,,,,,,3,-61.4601,-72.7602,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897440953.45525,300.002868652344,84305.4765625,0,8.772,424.2411,0,0.01787508,,,0.4359754,2.293708,1,0,0.4242406,0.4242406,0.0001323542,,,,,,3,-64.51859,-80.54478,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897440958.67084,300.003265380859,83266.53125,0,8.773,420.3291,0,0.01709717,,,0.4359754,2.293708,1,0,0.4203286,0.4203286,0.0001254268,,,,,,3,-63.68456,-75.57471,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897440964.3297,300.001892089844,82127.515625,0,8.771,414.665,0,0.01652333,,,0.4359754,2.293708,1,0,0.4146645,0.4146645,0.0001195837,,,,,,3,-62.58864,-73.28923,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897440969.33371,300.000885009766,81128.2890625,0,8.77,410.9482,0,0.02533741,,,0.4359754,2.293708,1,0,0.4109477,0.4109477,0.0001817298,,,,,,3,-63.81383,-71.63542,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897440974.64504,300.002471923828,80069.359375,0,8.771,407.1597,0,0.02478965,,,0.4359754,2.293708,1,0,0.4071593,0.4071592,0.0001761619,,,,,,3,-66.33481,-69.00003,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897440979.96902,300.003082275391,78990.4921875,0,8.771,401.2175,0,0.01979605,,,0.4359754,2.293708,1,0,0.401217,0.401217,0.000138623,,,,,,3,-66.67901,-70.42783,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897440989.29604,300.001892089844,77131.6640625,0,8.768,393.5593,0,0.01730818,,,0.4359754,2.293708,1,0,0.3935589,0.3935588,0.0001188881,,,,,,3,-63.97685,-80.59814,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
