[Header]
;Copyright 2015, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,7/2/2023 3:23:52 AM
BYAPP, Electrical Transport Option, Release 1.1.3 Build 5
INFO, APPNAME, ETOption, Release 1.1.3 Build 5
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

,3897429822.38666,149.998260498047,88661.4375,0,4.475,487.8348,0,-1.78782,,,0.4359754,2.293708,1,0,0.4880717,0.4878342,-0.015227,,,,,,3,-47.97953,-52.12545,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897429822.66942,149.998260498047,88601.4609375,0,4.474,485.3701,0,-1.975188,,,0.4359754,2.293708,1,0,0.485658,0.4853694,-0.01673903,,,,,,3,-45.07447,-53.73635,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897429827.52017,149.99885559082,87642.4375,0,4.475,480.6959,0,-1.966883,,,0.4359754,2.293708,1,0,0.4809786,0.4806952,-0.01650807,,,,,,3,-46.05671,-59.72864,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897429832.61071,149.998123168945,86623.4453125,0,4.475,475.9771,0,-2.001498,,,0.4359754,2.293708,1,0,0.476267,0.4759765,-0.01663392,,,,,,3,-46.80584,-56.94458,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897429837.82207,149.998718261719,85564.0234375,0,4.475,471.2025,0,-1.987815,,,0.4359754,2.293708,1,0,0.4714856,0.4712018,-0.0163544,,,,,,3,-46.53177,-56.69087,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897429843.37277,149.998458862305,84465.3671875,0,4.476,464.1024,0,-1.974975,,,0.4359754,2.293708,1,0,0.4643776,0.4641017,-0.01600384,,,,,,3,-45.93179,-58.7084,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897429848.48019,149.999252319336,83446.3125,0,4.476,459.5516,0,-1.946772,,,0.4359754,2.293708,1,0,0.4598164,0.459551,-0.01562044,,,,,,3,-46.23366,-57.04766,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897429853.47466,149.998260498047,82447.1484375,0,4.476,454.6949,0,-1.952049,,,0.4359754,2.293708,1,0,0.4549583,0.4546943,-0.01549728,,,,,,3,-46.53299,-57.89057,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897429858.88178,149.997970581055,81368.2265625,0,4.476,449.9544,0,-1.967468,,,0.4359754,2.293708,1,0,0.4502192,0.4499538,-0.01545695,,,,,,3,-45.6425,-57.0691,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
