[Header]
;Copyright 2015, Quantum Design, Inc. All rights reserved.
FILEOPENTIME, 0.0, ,7/1/2023 11:06:52 PM
BYAPP, Electrical Transport Option, Release 1.1.3 Build 5
INFO, APPNAME, ETOption, Release 1.1.3 Build 5
TITLE, Electrical Transport Option (CAN)
STARTUPAXIS, X, 2, LINEAR, AUTO
STARTUPAXIS, Y1, 7, LINEAR, AUTO
STARTUPAXIS, Y2, 9, LINEAR, AUTO
STARTUPAXIS, Y3, 27, LINEAR, AUTO
STARTUPAXIS, Y4, 29, LINEAR, AUTO
TIMEMODE, SECONDS, RELATIVE
PLOT_APPEARANCE, ALL, HORZ_GRID_ON, VERT_GRID_ON,,AUTO_LINES
RECORDS, ALL_RECORDS
DATATYPE, COMMENT, 1
[Data]
Comment,Time Stamp (s),Temperature (K),Field (Oe),Sample Position (deg),Chamber Pressure (Torr),Resistance Ch1 (Ohms),Resistance Std. Dev. Ch1 (Ohms),Phase Angle Ch1 (deg),I-V Current Ch1 (mA),I-V Voltage Ch1 (V),Frequency Ch1 (Hz),Averaging Time Ch1 (s),AC Current Ch1 (mA),DC Current Ch1 (mA),Voltage Ampl Ch1 (V),In Phase Voltage Ampl Ch1 (V),Quadrature Voltage Ch1 (V),AC Voltage Ch1 (V),DC Voltage Ch1 (V),Current Ampl Ch1 (mA),In Phase Current Ch1 (mA),Quadrature Current Ch1 (mA),Gain Ch1,2nd Harmonic Ch1 (dB),3rd Harmonic Ch1 (dB),Resistance Ch2 (Ohms),Resistance Std. Dev. Ch2 (Ohms),Phase Angle Ch2 (deg),I-V Current Ch2 (mA),I-V Voltage Ch2 (V),Frequency Ch2 (Hz),Averaging Time Ch2 (s),AC Current Ch2 (mA),DC Current Ch2 (mA),Voltage Ampl Ch2 (V),In Phase Voltage Ampl Ch2 (V),Quadrature Voltage Ch2 (V),AC Voltage Ch2 (V),DC Voltage Ch2 (V),Current Ampl Ch2 (mA),In Phase Current Ch2 (mA),Quadrature Current Ch2 (mA),Gain Ch2,2nd Harmonic Ch2 (dB),3rd Harmonic Ch2 (dB),ETO Status Code,ETO Measurement Mode,Temperature Status (code),Field Status (code),Chamber Status (code),ETO Channel 1,ETO Channel 2,ETO Channel 3,ETO Channel 4,ETO Channel 5,ETO Channel 6,ETO Channel 7,ETO Channel 8,ETO Channel 9,ETO Channel 10,ETO Channel 11,ETO Channel 12,ETO Channel 13,ETO Channel 14,ETO Channel 15,ETO Channel 16

,3897414402.59814,5.01459980010986,88681.75,0,0.744,593.1462,0,-5.408857,,,0.4359754,2.293708,1,0,0.5957981,0.5931453,-0.05616125,,,,,,3,-33.79485,-25.76567,,,,,,,,,,,,,,,,,,,,,38509440,0,6,6,1,,,,,,,,,,,,,,,,
,3897414422.88319,5.01220369338989,84625.5078125,0,0.742,570.7579,0,-5.848734,,,0.4359754,2.293708,1,0,0.5737437,0.570757,-0.0584659,,,,,,3,-37.60358,-26.77131,,,,,,,,,,,,,,,,,,,,,38509440,0,5,6,1,,,,,,,,,,,,,,,,
,3897414428.20114,4.99270582199097,83586.375,0,0.742,563.2831,0,-5.895988,,,0.4359754,2.293708,1,0,0.5662779,0.5632823,-0.0581697,,,,,,3,-37.61825,-27.22571,,,,,,,,,,,,,,,,,,,,,38509440,0,5,6,1,,,,,,,,,,,,,,,,
,3897414433.845,4.99281215667725,82447.4765625,0,0.741,558.1811,0,-5.931707,,,0.4359754,2.293708,1,0,0.5611849,0.5581802,-0.05799453,,,,,,3,-37.58331,-27.57627,,,,,,,,,,,,,,,,,,,,,38509440,0,5,6,1,,,,,,,,,,,,,,,,
,3897414439.11489,5.00752258300781,81388.53125,0,0.741,553.027,0,-5.967987,,,0.4359754,2.293708,1,0,0.5560399,0.5530262,-0.057813,,,,,,3,-37.42207,-27.90547,,,,,,,,,,,,,,,,,,,,,38509440,0,5,6,1,,,,,,,,,,,,,,,,
,3897414444.44103,4.99139499664307,80329.3828125,0,0.741,545.2962,0,-6.029891,,,0.4359754,2.293708,1,0,0.5483291,0.5452954,-0.05760048,,,,,,3,-37.33436,-28.37913,,,,,,,,,,,,,,,,,,,,,38509440,0,5,6,1,,,,,,,,,,,,,,,,
,3897414449.6327,5.00773334503174,79290.515625,0,0.74,540.1608,0,-6.059335,,,0.4359754,2.293708,1,0,0.5431947,0.5401599,-0.05733873,,,,,,3,-37.25401,-28.71005,,,,,,,,,,,,,,,,,,,,,38509440,0,5,6,1,,,,,,,,,,,,,,,,
,3897414455.16267,5.00767803192139,78171.3359375,0,0.74,535.0151,0,-6.087258,,,0.4359754,2.293708,1,0,0.5380481,0.5350143,-0.0570562,,,,,,3,-37.24264,-29.07607,,,,,,,,,,,,,,,,,,,,,38509440,0,5,6,1,,,,,,,,,,,,,,,,
,3897414459.12777,4.98928117752075,77391.7421875,0,0.74,529.7863,0,-6.148048,,,0.4359754,2.293708,1,0,0.5328501,0.5297855,-0.05706712,,,,,,3,-37.17087,-29.39311,,,,,,,,,,,,,,,,,,,,,38509440,0,5,6,1,,,,,,,,,,,,,,,,
,3897414464.54805,5.00015211105347,76292.7890625,0,0.739,524.5721,0,-6.186217,,,0.4359754,2.293708,1,0,0.5276439,0.5245714,-0.05685901,,,,,,3,-37.21437,-29.76068,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897414469.70194,4.99582386016846,75273.6171875,0,0.738,516.7026,0,-6.250354,,,0.4359754,2.293708,1,0,0.5197917,0.5167019,-0.05659128,,,,,,3,-37.26646,-30.16377,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897414475.01639,5.01080369949341,74213.8203125,0,0.738,511.3366,0,-6.289811,,,0.4359754,2.293708,1,0,0.5144325,0.5113358,-0.05635997,,,,,,3,-37.35467,-30.58295,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897414480.32193,5.01227045059204,73154.578125,0,0.737,504.2025,0,-6.368947,,,0.4359754,2.293708,1,0,0.5073329,0.5042018,-0.0562786,,,,,,3,-43.08628,-28.92657,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897414485.42205,5.00175094604492,72135.6640625,0,0.738,497.8424,0,-6.408745,,,0.4359754,2.293708,1,0,0.5009723,0.4978417,-0.05591884,,,,,,3,-37.18497,-31.44473,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897414490.55968,4.98912334442139,71096.5703125,0,0.737,492.377,0,-6.45792,,,0.4359754,2.293708,1,0,0.4955205,0.4923763,-0.05573291,,,,,,3,-37.30616,-31.81924,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897414494.76945,4.99141120910645,70277.3671875,0,0.737,484.2679,0,-6.691285,,,0.4359754,2.293708,1,0,0.4875885,0.4842673,-0.05681365,,,,,,3,-41.84447,-29.65101,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897414500.09393,5.01019382476807,69198.5625,0,0.736,479.3344,0,-6.724233,,,0.4359754,2.293708,1,0,0.4826538,0.4793337,-0.05651431,,,,,,3,-38.50871,-29.74756,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897414505.51593,5.00892448425293,68119.6171875,0,0.735,473.8094,0,-6.771913,,,0.4359754,2.293708,1,0,0.4771375,0.4738087,-0.05626271,,,,,,3,-38.93234,-29.67805,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897414510.81795,4.99542999267578,67060.5703125,0,0.735,467.7725,0,-6.712344,,,0.4359754,2.293708,1,0,0.4710003,0.4677718,-0.05505273,,,,,,3,-37.26457,-33.312,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
,3897414516.28392,4.99624061584473,65961.6015625,0,0.735,462.1426,0,-6.741276,,,0.4359754,2.293708,1,0,0.4653593,0.462142,-0.05462676,,,,,,3,-37.02155,-33.86013,,,,,,,,,,,,,,,,,,,,,38509440,0,1,6,1,,,,,,,,,,,,,,,,
